experiment_col,experiment_label,backend,method,model,save_path,kernel_id,kernel_name,kernel_type,cohort,precision_io_cheat,best_depth,best_speedup,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,1,1_Square_matrix_multiplication_,matmul,sample19,False,5,0.8454,0.6613,0.6631,0.6649,0.7343,0.741,0.8454,0.7987,0.8311,0.8339,0.3342,0.7859
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,4,4_Matrix_vector_multiplication_,matmul,sample19,False,4,1.0011,0.9967,1.0,1.0,1.0,1.0011,1.0,1.0,,,,
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,6,6_Matmul_with_large_K_dimension_,matmul,new8,False,9,0.8351,0.1125,0.6279,0.6835,0.7232,0.5625,0.75,0.7465,0.75,0.8308,0.8351,0.81
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,9,9_Tall_skinny_matrix_multiplication_,matmul,sample19,False,4,1.1836,1.1732,1.0986,1.0615,1.181,1.1836,1.0986,1.0941,1.0918,1.083,1.1146,1.1192
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,14,14_Matmul_for_upper_triangular_matrices,matmul,new8,False,2,3.5425,0.694,3.4232,3.5425,3.5376,2.54,2.5579,2.3738,2.3738,2.3962,2.4423,1.8273
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,21,21_Sigmoid,activation,sample19,False,4,1.0,0.9771,0.9771,0.9751,0.973,1.0,0.9895,0.9958,0.9958,0.9895,1.0,0.9979
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,22,22_Tanh,activation,sample19,False,0,1.0,1.0,0.9979,1.0,0.9979,0.9979,1.0,1.0,1.0,1.0,1.0,1.0
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,33,33_BatchNorm,norm,sample19,False,6,1.0067,0.6802,0.7156,0.9805,0.9742,0.9742,0.9742,1.0067,0.9805,0.9805,0.9805,0.9805
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,40,40_LayerNorm,norm,sample19,False,3,5.9029,4.3333,5.59,5.878,5.9029,4.2672,4.2672,4.2672,5.878,5.878,5.8534,5.8534
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,49,49_Max_reduction_over_a_dimension,reduction,sample19,False,6,1.1065,0.2732,0.8746,0.9147,0.9147,0.9587,1.1053,1.1065,1.1004,1.1041,1.1065,1.1041
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,50,50_conv_standard_2D__square_input__square_kernel,conv,new8,False,10,2.4016,0.4766,0.8391,1.0952,1.3062,1.3525,1.6804,2.2344,2.2182,2.2846,2.3462,2.4016
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,53,53_Min_reduction_over_a_dimension,reduction,sample19,False,2,1.0697,0.8746,0.9495,1.0697,0.8823,0.8595,0.804,0.8521,0.8823,0.8902,0.8902,0.8902
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,54,54_conv_standard_3D__square_input__square_kernel,conv,sample19,False,6,1.9638,0.242,0.274,0.2277,0.2862,1.9085,1.3092,1.9638,,,,
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,55,55_conv_standard_2D__asymmetric_input__square_kernel,conv,sample19,False,5,0.5276,0.0417,0.2785,0.307,0.4134,0.5072,0.5276,,,,,
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,58,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel,conv,sample19,False,10,3.7106,0.3891,0.3697,0.3509,1.9231,1.4184,3.6563,3.6496,3.5026,3.6563,3.5971,3.7106
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,59,59_conv_standard_3D__asymmetric_input__square_kernel,conv,sample19,False,3,1.6026,0.6699,1.347,0.72,1.6026,0.9858,1.4603,1.5319,1.5133,1.5097,1.5207,1.313
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,61,61_conv_transposed_3D__square_input__square_kernel,conv,new8,False,3,0.9744,0.2052,0.6994,0.755,0.9744,,,,,,,
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,70,70_conv_transposed_3D__asymmetric_input__square_kernel,conv,new8,False,10,2.754,1.9066,2.4964,2.268,2.3133,2.268,2.1824,2.4266,2.3133,2.3767,2.5328,2.754
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,75,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__,conv,new8,False,10,7.4438,2.8342,1.5588,1.5774,5.0766,5.0476,4.1997,4.003,3.973,3.1398,4.8624,7.4438
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,80,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__,conv,sample19,False,9,0.8031,0.0605,0.05,0.0524,0.235,0.4182,0.5,0.5938,0.669,0.6724,0.8031,0.754
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,83,83_conv_depthwise_2D_square_input_asymmetric_kernel,conv,sample19,False,3,1.4538,1.418,0.816,1.418,1.4538,1.4538,1.4417,1.4417,1.4538,1.4417,1.4417,1.4417
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,88,88_MinGPTNewGelu,activation,sample19,False,0,8.8147,8.8147,8.7273,8.7129,8.6985,8.7273,8.7417,8.6985,8.7129,8.7273,8.6985,8.6557
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,99,99_TripletMarginLoss,loss,sample19,False,0,4.1124,4.1124,4.1124,4.1124,4.1124,,,,,,,
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,102,102_ScaledDotProductAttention,attention,sample19,False,5,1.629,0.0174,0.259,0.7652,1.1306,1.2367,1.629,1.6117,1.3004,1.2894,1.3174,1.3231
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,103,103_Conv2D_SquareKernel11,conv,sample19,False,3,0.8633,0.2166,0.1778,0.7407,0.8633,0.3987,0.6349,0.4096,0.2956,0.404,0.6452,0.6452
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,105,105_LayerNorm_BigMean,norm,new8,False,9,5.4706,5.0545,5.1009,5.0545,5.1667,5.1667,5.1667,5.2642,5.3654,3.72,5.4706,1.4256
CUDA/nopf/K,CUDA · No profiling · Kimi K3,CUDA,No profiling,Kimi K3,cuda/level1-no-profile,107,107_Conv2D_SquareKernel3_bf16,conv,new8,False,3,2.0167,0.6798,0.5261,1.0522,2.0167,1.9485,1.7163,1.4202,1.6553,1.6553,1.8141,2.0033
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,1,1_Square_matrix_multiplication_,matmul,sample19,False,10,0.8561,0.5584,0.6404,0.6797,0.8053,0.7697,0.8299,0.8356,0.8356,0.8271,0.8,0.8561
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,4,4_Matrix_vector_multiplication_,matmul,sample19,False,4,1.0,0.9956,0.9879,0.9709,0.9989,1.0,0.9989,1.0,0.9989,1.0,0.9989,0.9989
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,6,6_Matmul_with_large_K_dimension_,matmul,new8,False,8,0.7376,0.0744,0.1468,0.307,0.3253,0.6293,0.6318,0.6996,0.7342,0.7376,0.7181,0.7087
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,9,9_Tall_skinny_matrix_multiplication_,matmul,sample19,False,7,1.1263,0.5722,0.6613,1.0874,1.1008,1.0963,1.0896,1.0874,1.1263,1.0552,1.0531,1.0679
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,14,14_Matmul_for_upper_triangular_matrices,matmul,new8,False,4,3.7445,0.6836,3.4932,3.5915,3.6222,3.7445,3.2319,3.5076,3.6017,3.5966,3.6017,3.701
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,21,21_Sigmoid,activation,sample19,False,4,1.0,0.9874,0.9936,0.9874,0.9853,1.0,0.9979,1.0,0.9979,0.9979,0.9979,1.0
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,22,22_Tanh,activation,sample19,False,2,1.0,0.9979,0.9979,1.0,0.9979,0.9979,1.0,0.973,0.9874,0.9895,0.9853,0.9874
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,33,33_BatchNorm,norm,sample19,False,9,1.0863,0.4887,0.4903,0.9679,1.0786,1.0786,1.0786,1.0786,1.0786,1.0786,1.0863,1.0863
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,40,40_LayerNorm,norm,sample19,False,8,4.2105,0.6385,2.1622,4.1481,4.1481,4.1791,4.1481,4.1481,4.1791,4.2105,4.2105,4.2105
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,49,49_Max_reduction_over_a_dimension,reduction,sample19,False,4,0.8823,0.8595,0.8595,0.867,0.867,0.8823,0.867,0.867,0.867,0.8595,0.867,0.8746
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,50,50_conv_standard_2D__square_input__square_kernel,conv,new8,False,2,1.2136,0.4,0.3183,1.2136,1.176,0.4471,1.1969,0.4438,0.2187,0.1483,0.4193,0.4504
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,53,53_Min_reduction_over_a_dimension,reduction,sample19,False,9,0.8991,0.8678,0.8603,0.8603,0.8678,0.8678,0.8678,0.8678,0.8678,0.8678,0.8991,0.8991
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,54,54_conv_standard_3D__square_input__square_kernel,conv,sample19,False,8,0.9855,0.1481,0.1869,0.4027,0.4208,0.5293,0.7832,0.8313,0.8974,0.9855,0.8469,0.8416
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,55,55_conv_standard_2D__asymmetric_input__square_kernel,conv,sample19,False,10,0.1309,0.0387,0.0522,0.0561,0.0755,0.0577,0.1106,0.1231,0.107,0.0665,0.0587,0.1309
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,58,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel,conv,sample19,False,0,1.1552,1.1552,0.7791,0.5599,0.1914,0.199,0.3628,0.199,0.2851,0.0926,0.1844,0.1396
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,59,59_conv_standard_3D__asymmetric_input__square_kernel,conv,sample19,False,10,0.9482,0.1603,0.1747,0.3534,0.3702,0.426,0.4607,0.4822,0.1772,0.4822,0.8711,0.9482
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,61,61_conv_transposed_3D__square_input__square_kernel,conv,new8,False,8,0.1853,0.0399,0.0417,0.0298,0.0325,0.0327,0.0211,0.0665,0.1164,0.1853,0.1257,0.1796
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,70,70_conv_transposed_3D__asymmetric_input__square_kernel,conv,new8,False,0,0.1876,0.1876,0.1606,0.0697,0.0605,0.0606,0.0602,0.0304,0.0161,0.05,0.0344,0.0509
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,75,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__,conv,new8,False,10,4.0487,2.9787,2.1803,1.8732,2.9392,3.1704,3.3375,1.622,1.6319,1.3434,2.3964,4.0487
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,80,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__,conv,sample19,False,9,0.1368,0.0627,0.0729,0.087,0.0941,0.122,0.0899,0.0841,0.0902,0.1028,0.1368,0.1231
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,83,83_conv_depthwise_2D_square_input_asymmetric_kernel,conv,sample19,False,2,1.4417,1.4298,0.3589,1.4417,1.418,1.3952,1.4298,1.4298,1.4298,1.4298,1.4298,1.418
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,88,88_MinGPTNewGelu,activation,sample19,False,3,8.7273,8.6134,8.6416,8.6842,8.7273,8.7129,8.6275,8.6416,8.6134,8.5575,8.6275,8.5993
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,99,99_TripletMarginLoss,loss,sample19,False,0,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0882,4.0762
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,102,102_ScaledDotProductAttention,attention,sample19,False,10,0.4312,0.0177,0.0353,0.0944,0.0933,0.2235,0.2141,0.1583,0.035,0.0355,0.0393,0.4312
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,103,103_Conv2D_SquareKernel11,conv,sample19,False,10,0.2284,0.2148,0.0726,0.0405,0.0191,0.0372,0.0739,0.0328,0.0397,0.0522,0.0975,0.2284
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,105,105_LayerNorm_BigMean,norm,new8,False,8,5.55,0.5961,1.2528,1.25,1.5205,5.0917,5.0917,5.1389,5.1869,5.55,5.1869,5.55
CUDA/nopf/S,CUDA · No profiling · Sonnet 5,CUDA,No profiling,Sonnet 5,cuda/level1-no-profile-sonnet5,107,107_Conv2D_SquareKernel3_bf16,conv,new8,False,6,2.7438,0.6914,1.5239,1.3152,1.3844,1.4103,2.0898,2.7438,2.7009,2.2202,2.296,2.6362
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,1,1_Square_matrix_multiplication_,matmul,sample19,False,4,0.8693,0.791,0.8039,0.8173,0.7961,0.8693,0.4316,0.4424,0.4581,0.4871,0.5,0.491
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,4,4_Matrix_vector_multiplication_,matmul,sample19,False,1,1.0022,0.9978,1.0022,1.0011,1.0022,1.0011,1.0011,1.0011,1.0,1.0011,1.0011,1.0022
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,6,6_Matmul_with_large_K_dimension_,matmul,new8,False,10,0.8994,0.0988,0.161,0.7318,0.6765,0.8798,0.8474,0.774,0.8846,0.8131,0.7931,0.8994
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,9,9_Tall_skinny_matrix_multiplication_,matmul,sample19,False,9,1.1867,1.1736,1.1762,1.1762,1.184,1.1788,1.1584,1.1634,1.1314,1.184,1.1867,1.184
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,14,14_Matmul_for_upper_triangular_matrices,matmul,new8,False,4,3.7519,0.663,3.2747,3.2836,3.482,3.7519,3.6066,1.1256,1.4578,1.204,1.407,2.2202
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,21,21_Sigmoid,activation,sample19,False,0,1.0,1.0,0.9979,1.0,0.9979,0.9895,0.967,0.963,0.969,0.967,0.9895,0.969
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,22,22_Tanh,activation,sample19,False,0,1.0,1.0,0.9895,0.9874,0.9895,0.9915,0.9895,0.9936,0.9915,0.9895,0.9832,0.9832
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,33,33_BatchNorm,norm,sample19,False,8,1.0709,0.9264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0709,1.0709,1.0709
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,40,40_LayerNorm,norm,sample19,False,9,6.2712,0.6394,2.1346,5.8544,2.2561,6.2081,5.6575,5.704,4.9554,4.6639,6.2712,4.8684
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,49,49_Max_reduction_over_a_dimension,reduction,sample19,False,5,1.0968,0.8746,0.8823,1.0686,1.0573,1.0629,1.0968,1.0956,1.0944,1.0618,1.0561,1.0561
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,50,50_conv_standard_2D__square_input__square_kernel,conv,new8,False,10,1.2393,0.1986,0.2148,1.16,1.1508,0.9539,0.7108,1.1197,1.1983,0.8455,0.7796,1.2393
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,53,53_Min_reduction_over_a_dimension,reduction,sample19,False,3,1.0957,0.8441,1.0862,1.0862,1.0957,1.0143,1.0163,1.0268,1.063,1.0687,1.0607,1.0408
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,54,54_conv_standard_3D__square_input__square_kernel,conv,sample19,False,10,1.8503,0.3309,0.5585,1.6,1.5367,0.9891,0.9819,1.0264,1.6585,1.4783,1.6095,1.8503
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,55,55_conv_standard_2D__asymmetric_input__square_kernel,conv,sample19,False,5,0.4667,0.1471,0.1504,0.1771,0.173,0.386,0.4667,0.3596,0.3723,0.3344,0.3454,0.2561
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,58,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel,conv,sample19,False,10,6.2102,1.9307,0.6566,0.7091,1.681,0.623,2.3214,2.8676,1.9118,5.5556,5.9271,6.2102
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,59,59_conv_standard_3D__asymmetric_input__square_kernel,conv,sample19,False,0,0.5474,0.5474,0.1793,0.5244,,,,,,,,
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,61,61_conv_transposed_3D__square_input__square_kernel,conv,new8,False,0,1.3253,1.3253,,,,,,,,,,
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,70,70_conv_transposed_3D__asymmetric_input__square_kernel,conv,new8,False,10,3.2723,1.1352,0.9831,1.8439,1.7735,2.2778,2.263,2.2057,2.1987,1.298,3.0437,3.2723
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,75,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__,conv,new8,False,9,17.9333,2.0226,2.1694,2.5865,4.6062,6.9689,7.0052,7.7746,8.5942,9.573,17.9333,3.9793
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,80,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__,conv,sample19,False,10,0.3537,0.0967,0.2942,0.2618,0.2568,0.2065,0.2188,0.2232,0.3107,0.2454,0.305,0.3537
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,83,83_conv_depthwise_2D_square_input_asymmetric_kernel,conv,sample19,False,0,1.405,1.405,1.405,1.3934,1.405,1.371,1.371,1.36,1.36,1.36,1.36,1.36
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,88,88_MinGPTNewGelu,activation,sample19,False,0,8.7417,8.7417,8.6275,8.6416,8.5714,8.6985,8.67,8.67,8.6557,8.7273,8.5854,8.5161
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,99,99_TripletMarginLoss,loss,sample19,False,0,4.1003,4.1003,4.1003,4.1003,4.1003,4.1003,4.1003,4.0407,4.0525,4.0643,4.1003,4.1003
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,102,102_ScaledDotProductAttention,attention,sample19,False,9,0.4005,0.0829,0.2055,0.2632,0.2308,0.2564,0.2655,0.1935,0.2113,0.3686,0.4005,0.3708
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,103,103_Conv2D_SquareKernel11,conv,sample19,False,7,1.3164,0.2176,0.5434,0.3967,0.4359,0.444,0.4559,1.1226,1.3164,1.1333,1.1333,0.3333
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,105,105_LayerNorm_BigMean,norm,new8,False,5,5.4272,1.519,4.3333,4.2348,3.777,4.6583,5.4272,5.3238,5.3238,5.1759,5.2243,5.375
CUDA/delay/K,CUDA · Delayed profiling · Kimi K3,CUDA,Delayed profiling,Kimi K3,cuda/level1-profiled,107,107_Conv2D_SquareKernel3_bf16,conv,new8,False,9,3.0123,1.3246,2.4547,1.6288,1.9489,1.8827,2.7477,2.6991,2.7477,2.9975,3.0123,1.3817
CUDA/start/K,CUDA · Profiling from start · Kimi K3,CUDA,Profiling from start,Kimi K3,cuda/level1-profiled-from-start,1,1_Square_matrix_multiplication_,matmul,sample19,False,8,1.2487,0.764,0.5928,0.7477,0.8601,0.7343,1.2239,0.9919,1.0837,1.2487,0.4805,0.41
CUDA/start/K,CUDA · Profiling from start · Kimi K3,CUDA,Profiling from start,Kimi K3,cuda/level1-profiled-from-start,4,4_Matrix_vector_multiplication_,matmul,sample19,False,6,1.0,0.9978,0.9956,0.9989,0.9978,0.9858,0.989,1.0,0.9989,0.9967,0.9978,1.0
CUDA/start/K,CUDA · Profiling from start · Kimi K3,CUDA,Profiling from start,Kimi K3,cuda/level1-profiled-from-start,6,6_Matmul_with_large_K_dimension_,matmul,new8,False,2,0.7653,0.6736,0.5563,0.7653,0.6105,0.578,0.4631,0.4644,,,,
CUDA/start/K,CUDA · Profiling from start · Kimi K3,CUDA,Profiling from start,Kimi K3,cuda/level1-profiled-from-start,9,9_Tall_skinny_matrix_multiplication_,matmul,sample19,False,3,1.1127,0.3978,1.0211,1.0,1.1127,1.09,1.0878,1.0945,1.027,1.0833,1.0639,1.066
CUDA/start/K,CUDA · Profiling from start · Kimi K3,CUDA,Profiling from start,Kimi K3,cuda/level1-profiled-from-start,14,14_Matmul_for_upper_triangular_matrices,matmul,new8,False,1,2.7778,0.916,2.7778,2.7397,2.6816,,,,,,,
