kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6387,4363,10750
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5471,9925,15396
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6474,11866,18340
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6730,9590,16320
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6393,14648,21041
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5833,6704,12537
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6710,7321,14031
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8818,1511,10329
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6440,212,6652
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6973,4748,11721
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,9090,1491,10581
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6723,240,6963
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,9090,762,9852
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6707,271,6978
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7840,8396,16236
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7641,2286,9927
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6936,15333,22269
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6936,6095,13031
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7632,12879,20511
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7492,17288,24780
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8900,7290,16190
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8880,18407,27287
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6435,25456,31891
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6652,20198,26850
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7224,8233,15457
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7294,8535,15829
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7676,4272,11948
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7563,12802,20365
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7318,3970,11288
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7387,5053,12440
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7578,21358,28936
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7694,32000,39694
21_Sigmoid.py,kimi,kimi-k3,6362,5451,11813
21_Sigmoid.py,kimi,kimi-k3,4688,1672,6360
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6387,5728,12115
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7906,3914,11820
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5466,613,6079
21_Sigmoid.py,kimi,kimi-k3,6362,3809,10171
21_Sigmoid.py,kimi,kimi-k3,4577,995,5572
21_Sigmoid.py,kimi,kimi-k3,4877,1067,5944
21_Sigmoid.py,kimi,kimi-k3,4985,1276,6261
21_Sigmoid.py,kimi,kimi-k3,4984,3821,8805
21_Sigmoid.py,kimi,kimi-k3,5307,3162,8469
21_Sigmoid.py,kimi,kimi-k3,5307,709,6016
21_Sigmoid.py,kimi,kimi-k3,5335,1393,6728
21_Sigmoid.py,kimi,kimi-k3,5712,1856,7568
21_Sigmoid.py,kimi,kimi-k3,5658,2851,8509
21_Sigmoid.py,kimi,kimi-k3,5736,2342,8078
22_Tanh.py,kimi,kimi-k3,6362,14742,21104
22_Tanh.py,kimi,kimi-k3,5096,682,5778
22_Tanh.py,kimi,kimi-k3,6387,1559,7946
22_Tanh.py,kimi,kimi-k3,4213,2176,6389
22_Tanh.py,kimi,kimi-k3,5543,2941,8484
22_Tanh.py,kimi,kimi-k3,5896,1360,7256
22_Tanh.py,kimi,kimi-k3,5869,3364,9233
22_Tanh.py,kimi,kimi-k3,5870,558,6428
22_Tanh.py,kimi,kimi-k3,5992,2343,8335
22_Tanh.py,kimi,kimi-k3,5811,3150,8961
22_Tanh.py,kimi,kimi-k3,5815,6532,12347
22_Tanh.py,kimi,kimi-k3,6168,3746,9914
22_Tanh.py,kimi,kimi-k3,7970,948,8918
22_Tanh.py,kimi,kimi-k3,5641,264,5905
22_Tanh.py,kimi,kimi-k3,7970,840,8810
22_Tanh.py,kimi,kimi-k3,5500,234,5734
22_Tanh.py,kimi,kimi-k3,6362,1381,7743
33_BatchNorm.py,kimi,kimi-k3,6416,8164,14580
33_BatchNorm.py,kimi,kimi-k3,6761,5969,12730
33_BatchNorm.py,kimi,kimi-k3,8168,6290,14458
33_BatchNorm.py,kimi,kimi-k3,8741,2732,11473
33_BatchNorm.py,kimi,kimi-k3,9089,9337,18426
33_BatchNorm.py,kimi,kimi-k3,9634,3490,13124
33_BatchNorm.py,kimi,kimi-k3,9897,1151,11048
33_BatchNorm.py,kimi,kimi-k3,9668,3132,12800
33_BatchNorm.py,kimi,kimi-k3,9668,3499,13167
33_BatchNorm.py,kimi,kimi-k3,10076,5191,15267
33_BatchNorm.py,kimi,kimi-k3,11032,3163,14195
33_BatchNorm.py,kimi,kimi-k3,11160,10006,21166
36_RMSNorm_.py,kimi,kimi-k3,6501,4885,11386
21_Sigmoid.py,kimi,kimi-k3,6362,3867,10229
36_RMSNorm_.py,kimi,kimi-k3,6501,3967,10468
36_RMSNorm_.py,kimi,kimi-k3,8012,3602,11614
36_RMSNorm_.py,kimi,kimi-k3,5783,473,6256
36_RMSNorm_.py,kimi,kimi-k3,8012,1470,9482
36_RMSNorm_.py,kimi,kimi-k3,5995,625,6620
36_RMSNorm_.py,kimi,kimi-k3,8012,3519,11531
36_RMSNorm_.py,kimi,kimi-k3,5742,694,6436
36_RMSNorm_.py,kimi,kimi-k3,8012,1243,9255
36_RMSNorm_.py,kimi,kimi-k3,5881,225,6106
40_LayerNorm.py,kimi,kimi-k3,6421,17070,23491
40_LayerNorm.py,kimi,kimi-k3,9724,1312,11036
40_LayerNorm.py,kimi,kimi-k3,8049,726,8775
40_LayerNorm.py,kimi,kimi-k3,7841,7344,15185
40_LayerNorm.py,kimi,kimi-k3,8200,4840,13040
40_LayerNorm.py,kimi,kimi-k3,8238,8064,16302
40_LayerNorm.py,kimi,kimi-k3,8249,5551,13800
40_LayerNorm.py,kimi,kimi-k3,8483,7381,15864
40_LayerNorm.py,kimi,kimi-k3,8650,16293,24943
40_LayerNorm.py,kimi,kimi-k3,8809,4725,13534
40_LayerNorm.py,kimi,kimi-k3,9104,31865,40969
40_LayerNorm.py,kimi,kimi-k3,12701,997,13698
40_LayerNorm.py,kimi,kimi-k3,11574,363,11937
40_LayerNorm.py,kimi,kimi-k3,12701,1616,14317
40_LayerNorm.py,kimi,kimi-k3,11687,546,12233
40_LayerNorm.py,kimi,kimi-k3,12701,1211,13912
40_LayerNorm.py,kimi,kimi-k3,11532,288,11820
40_LayerNorm.py,kimi,kimi-k3,11721,5181,16902
40_LayerNorm.py,kimi,kimi-k3,10924,9815,20739
40_LayerNorm.py,kimi,kimi-k3,12971,2707,15678
40_LayerNorm.py,kimi,kimi-k3,13066,5993,19059
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,6410,2959,9369
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4831,6559,11390
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5294,5092,10386
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5595,5314,10909
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5798,28107,33905
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5499,9870,15369
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5547,6166,11713
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5630,9438,15068
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5653,22233,27886
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,7770,3040,10810
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,7750,8027,15777
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,6410,9685,16095
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5050,5120,10170
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,6460,2680,9140
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,6597,11262,17859
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,7049,2417,9466
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,7058,5564,12622
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,7191,23712,30903
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,8032,6044,14076
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,8089,2773,10862
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,8212,11519,19731
