kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,764,3415,4179
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4535,8184,12719
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4991,5437,10428
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5970,14180,20150
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6749,11468,18217
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6926,7290,14216
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7167,2385,9552
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7666,7369,15035
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9810,2048,11858
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8468,1162,9630
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7106,4537,11643
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6247,3332,9579
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7283,8522,15805
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9006,861,9867
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7669,3220,10889
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7296,9764,17060
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7215,1236,8451
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7715,21028,28743
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7838,1889,9727
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,817,4881,5698
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4661,9533,14194
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6210,6378,12588
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5194,766,5960
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6074,8824,14898
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6452,18218,24670
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7619,27455,35074
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7609,4584,12193
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7866,21347,29213
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10984,1968,12952
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10601,528,11129
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9990,10786,20776
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10007,7334,17341
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10042,2459,12501
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10078,21300,31378
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,707,4605,5312
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4925,7039,11964
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5552,19181,24733
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8337,1977,10314
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8392,10238,18630
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,11361,9987,21348
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12394,25485,37879
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,13163,11561,24724
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,13408,6719,20127
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,14801,1906,16707
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,14215,319,14534
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12915,6680,19595
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12292,1587,13879
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12716,2298,15014
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,11896,236,12132
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12716,1155,13871
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12206,445,12651
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12716,2534,15250
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12360,222,12582
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,1057,12185,13242
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1105,12202,13307
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7479,12948,20427
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,9662,5477,15139
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10508,896,11404
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,9718,244,9962
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10011,19097,29108
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10222,2411,12633
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10222,3980,14202
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10228,2814,13042
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10591,3468,14059
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10650,6789,17439
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10370,6427,16797
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,10532,12283,22815
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,1099,7268,8367
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6246,5157,11403
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6405,8950,15355
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,7006,3560,10566
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,7577,15810,23387
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,8778,3716,12494
