kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,758,7311,8069
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6297,4432,10729
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7390,12804,20194
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7639,7866,15505
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7832,29870,37702
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8346,7869,16215
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8614,9591,18205
1_Square_matrix_multiplication_.py,kimi,kimi-k3,10889,2277,13166
1_Square_matrix_multiplication_.py,kimi,kimi-k3,10035,420,10455
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8683,14675,23358
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8890,5210,14100
1_Square_matrix_multiplication_.py,kimi,kimi-k3,9274,865,10139
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8109,346,8455
1_Square_matrix_multiplication_.py,kimi,kimi-k3,8962,13866,22828
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,764,1649,2413
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5158,4911,10069
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5532,4077,9609
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5637,6473,12110
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5921,7546,13467
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6525,4635,11160
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5967,20737,26704
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6765,16257,23022
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6784,4142,10926
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6107,1542,7649
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7880,2086,9966
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6376,1373,7749
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6202,5758,11960
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,764,7502,8266
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6070,5280,11350
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6994,7898,14892
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8284,5998,14282
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,806,4324,5130
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4759,3345,8104
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5266,8335,13601
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5885,4951,10836
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5884,11562,17446
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6312,14852,21164
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6340,4547,10887
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6718,10573,17291
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6913,17399,24312
