kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,758,9908,10666
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5060,5962,11022
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5610,9322,14932
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6129,7039,13168
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6177,3165,9342
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6244,15310,21554
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5732,930,6662
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6969,1515,8484
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5558,2800,8358
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5887,3632,9519
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5911,2978,8889
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5974,3383,9357
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5987,10555,16542
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,764,3585,4349
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4552,3676,8228
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4956,9090,14046
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5399,1159,6558
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5198,5714,10912
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4861,3589,8450
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5068,5528,10596
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5068,3711,8779
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,806,13012,13818
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5709,5198,10907
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5851,1628,7479
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5856,15251,21107
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6162,7469,13631
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6931,23801,30732
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,9734,11654,21388
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,10606,23645,34251
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,10911,2158,13069
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,10910,5338,16248
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,11170,3747,14917
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,10895,2801,13696
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,11681,2058,13739
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,11823,955,12778
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,11216,14902,26118
21_Sigmoid.py,kimi,kimi-k3,733,2505,3238
21_Sigmoid.py,kimi,kimi-k3,5720,1055,6775
21_Sigmoid.py,kimi,kimi-k3,3664,276,3940
21_Sigmoid.py,kimi,kimi-k3,4125,3420,7545
21_Sigmoid.py,kimi,kimi-k3,4191,500,4691
21_Sigmoid.py,kimi,kimi-k3,733,2892,3625
21_Sigmoid.py,kimi,kimi-k3,4319,449,4768
21_Sigmoid.py,kimi,kimi-k3,4320,2150,6470
21_Sigmoid.py,kimi,kimi-k3,4661,3418,8079
21_Sigmoid.py,kimi,kimi-k3,4703,2625,7328
21_Sigmoid.py,kimi,kimi-k3,4508,4395,8903
21_Sigmoid.py,kimi,kimi-k3,4504,2668,7172
21_Sigmoid.py,kimi,kimi-k3,4595,778,5373
21_Sigmoid.py,kimi,kimi-k3,4645,2862,7507
21_Sigmoid.py,kimi,kimi-k3,4665,4846,9511
21_Sigmoid.py,kimi,kimi-k3,4655,3678,8333
22_Tanh.py,kimi,kimi-k3,733,796,1529
22_Tanh.py,kimi,kimi-k3,4141,1463,5604
22_Tanh.py,kimi,kimi-k3,4320,802,5122
22_Tanh.py,kimi,kimi-k3,4320,1806,6126
22_Tanh.py,kimi,kimi-k3,4320,1677,5997
22_Tanh.py,kimi,kimi-k3,4800,989,5789
22_Tanh.py,kimi,kimi-k3,4914,2444,7358
22_Tanh.py,kimi,kimi-k3,4508,1670,6178
22_Tanh.py,kimi,kimi-k3,4479,935,5414
22_Tanh.py,kimi,kimi-k3,4502,3630,8132
22_Tanh.py,kimi,kimi-k3,4783,586,5369
33_BatchNorm.py,kimi,kimi-k3,787,3526,4313
33_BatchNorm.py,kimi,kimi-k3,5351,4031,9382
33_BatchNorm.py,kimi,kimi-k3,5853,7541,13394
33_BatchNorm.py,kimi,kimi-k3,6779,3371,10150
33_BatchNorm.py,kimi,kimi-k3,6778,16566,23344
33_BatchNorm.py,kimi,kimi-k3,6761,5851,12612
33_BatchNorm.py,kimi,kimi-k3,6760,11140,17900
33_BatchNorm.py,kimi,kimi-k3,7973,3758,11731
33_BatchNorm.py,kimi,kimi-k3,8097,2772,10869
33_BatchNorm.py,kimi,kimi-k3,8313,9998,18311
33_BatchNorm.py,kimi,kimi-k3,9624,1382,11006
33_BatchNorm.py,kimi,kimi-k3,8624,291,8915
33_BatchNorm.py,kimi,kimi-k3,9624,1386,11010
33_BatchNorm.py,kimi,kimi-k3,8294,525,8819
33_BatchNorm.py,kimi,kimi-k3,9624,648,10272
33_BatchNorm.py,kimi,kimi-k3,8395,914,9309
33_BatchNorm.py,kimi,kimi-k3,9624,1647,11271
33_BatchNorm.py,kimi,kimi-k3,8643,292,8935
33_BatchNorm.py,kimi,kimi-k3,8911,6973,15884
40_LayerNorm.py,kimi,kimi-k3,792,13829,14621
40_LayerNorm.py,kimi,kimi-k3,7157,6543,13700
40_LayerNorm.py,kimi,kimi-k3,6610,5590,12200
40_LayerNorm.py,kimi,kimi-k3,8045,2420,10465
40_LayerNorm.py,kimi,kimi-k3,7013,808,7821
40_LayerNorm.py,kimi,kimi-k3,6818,6539,13357
40_LayerNorm.py,kimi,kimi-k3,7506,14879,22385
40_LayerNorm.py,kimi,kimi-k3,8795,2091,10886
40_LayerNorm.py,kimi,kimi-k3,8852,4949,13801
40_LayerNorm.py,kimi,kimi-k3,8975,5892,14867
40_LayerNorm.py,kimi,kimi-k3,10072,1670,11742
40_LayerNorm.py,kimi,kimi-k3,9053,584,9637
40_LayerNorm.py,kimi,kimi-k3,9113,8527,17640
40_LayerNorm.py,kimi,kimi-k3,9140,3430,12570
40_LayerNorm.py,kimi,kimi-k3,9183,5843,15026
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,781,2640,3421
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5174,4263,9437
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,3942,683,4625
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4620,4520,9140
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4122,2240,6362
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4300,7938,12238
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4595,6167,10762
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5037,27084,32121
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5709,3798,9507
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,5913,8010,13923
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,6104,7231,13335
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,6104,3831,9935
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,6162,4486,10648
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,781,3308,4089
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4171,3279,7450
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5176,2712,7888
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4745,529,5274
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4615,6497,11112
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5102,13512,18614
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4660,5674,10334
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4621,7573,12194
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,6758,1691,8449
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5587,241,5828
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4601,12094,16695
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4697,3111,7808
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4756,25713,30469
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5006,7402,12408
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,7077,4913,11990
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,7584,2495,10079
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,6459,1081,7540
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,1042,6681,7723
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6364,6576,12940
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7202,4900,12102
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7368,9148,16516
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7765,14977,22742
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7958,8575,16533
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,8325,12801,21126
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1050,5946,6996
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7266,1098,8364
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5739,738,6477
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6064,10652,16716
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7086,1143,8229
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5754,247,6001
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7083,4753,11836
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6197,1456,7653
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,9340,1496,10836
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,8384,696,9080
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7011,3406,10417
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7011,14248,21259
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7759,5292,13051
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7769,3646,11415
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,1150,3896,5046
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6311,10437,16748
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,8811,1488,10299
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,7058,737,7795
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,7769,7117,14886
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,8012,24334,32346
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9646,2490,12136
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9225,1520,10745
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,8594,5713,14307
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,8806,4979,13785
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9285,13952,23237
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9382,4288,13670
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9422,9282,18704
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,9482,6697,16179
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,10051,4875,14926
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1050,4953,6003
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6109,2818,8927
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,4952,404,5356
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5823,13792,19615
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7239,10351,17590
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7403,9132,16535
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7403,12843,20246
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7414,21760,29174
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7515,11212,18727
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7631,11143,18774
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,8097,5486,13583
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,8301,9165,17466
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,8383,2187,10570
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,8290,8254,16544
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7352,3150,10502
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,1038,4792,5830
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,5703,5406,11109
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6486,5976,12462
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,7009,7895,14904
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,7419,28577,35996
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,7706,17476,25182
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,8002,4837,12839
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,8002,6371,14373
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,8461,12026,20487
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,8491,14361,22852
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,9329,2440,11769
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,982,4668,5650
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,6953,1213,8166
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,5295,222,5517
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,5544,6551,12095
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,7600,1194,8794
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,6121,384,6505
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,7605,1318,8923
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,6063,320,6383
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,5909,6492,12401
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,6014,6633,12647
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,7141,8068,15209
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,7446,6618,14064
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,8047,7937,15984
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,8503,4588,13091
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,9815,16354,26169
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,8596,5745,14341
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,kimi,kimi-k3,7763,6052,13815
88_MinGPTNewGelu.py,kimi,kimi-k3,764,3037,3801
88_MinGPTNewGelu.py,kimi,kimi-k3,4033,1608,5641
88_MinGPTNewGelu.py,kimi,kimi-k3,4307,946,5253
88_MinGPTNewGelu.py,kimi,kimi-k3,4308,1202,5510
88_MinGPTNewGelu.py,kimi,kimi-k3,4308,2946,7254
88_MinGPTNewGelu.py,kimi,kimi-k3,4409,1856,6265
88_MinGPTNewGelu.py,kimi,kimi-k3,6061,953,7014
88_MinGPTNewGelu.py,kimi,kimi-k3,4238,227,4465
88_MinGPTNewGelu.py,kimi,kimi-k3,6061,893,6954
88_MinGPTNewGelu.py,kimi,kimi-k3,4174,227,4401
88_MinGPTNewGelu.py,kimi,kimi-k3,6061,765,6826
88_MinGPTNewGelu.py,kimi,kimi-k3,4035,302,4337
88_MinGPTNewGelu.py,kimi,kimi-k3,6061,1040,7101
88_MinGPTNewGelu.py,kimi,kimi-k3,4293,269,4562
88_MinGPTNewGelu.py,kimi,kimi-k3,6061,923,6984
88_MinGPTNewGelu.py,kimi,kimi-k3,4214,232,4446
88_MinGPTNewGelu.py,kimi,kimi-k3,4409,1383,5792
88_MinGPTNewGelu.py,kimi,kimi-k3,4409,1453,5862
88_MinGPTNewGelu.py,kimi,kimi-k3,4409,868,5277
88_MinGPTNewGelu.py,kimi,kimi-k3,4409,6564,10973
88_MinGPTNewGelu.py,kimi,kimi-k3,4723,1218,5941
88_MinGPTNewGelu.py,kimi,kimi-k3,4723,369,5092
99_TripletMarginLoss.py,kimi,kimi-k3,753,8508,9261
99_TripletMarginLoss.py,kimi,kimi-k3,5401,1619,7020
99_TripletMarginLoss.py,kimi,kimi-k3,5401,3817,9218
99_TripletMarginLoss.py,kimi,kimi-k3,5841,3742,9583
99_TripletMarginLoss.py,kimi,kimi-k3,7041,5130,12171
102_ScaledDotProductAttention.py,kimi,kimi-k3,762,10514,11276
102_ScaledDotProductAttention.py,kimi,kimi-k3,5266,28726,33992
102_ScaledDotProductAttention.py,kimi,kimi-k3,6690,16239,22929
102_ScaledDotProductAttention.py,kimi,kimi-k3,7286,3263,10549
102_ScaledDotProductAttention.py,kimi,kimi-k3,7286,19996,27282
102_ScaledDotProductAttention.py,kimi,kimi-k3,8072,4342,12414
102_ScaledDotProductAttention.py,kimi,kimi-k3,8072,2784,10856
102_ScaledDotProductAttention.py,kimi,kimi-k3,9570,1446,11016
