kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6379,26017,32396
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6202,5550,11752
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6238,13223,19461
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6349,13447,19796
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8087,1345,9432
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6857,541,7398
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9677,1304,10981
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8457,748,9205
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9677,3869,13546
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8388,768,9156
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6744,24565,31309
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7497,5114,12611
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6432,5261,11693
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7448,2243,9691
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6152,569,6721
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6397,14956,21353
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6768,2724,9492
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6931,2282,9213
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7004,9575,16579
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6991,18914,25905
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6991,15662,22653
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7543,11876,19419
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7492,6003,13495
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7504,18756,26260
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8078,7942,16020
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7880,17775,25655
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6322,4399,10721
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7550,2318,9868
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8449,1374,9823
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7708,607,8315
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7572,11106,18678
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7445,6837,14282
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8071,2736,10807
