kernel,server_type,model,input_tokens,output_tokens,total_tokens
102_ScaledDotProductAttention.py,kimi,kimi-k3,5963,32965,38928
102_ScaledDotProductAttention.py,kimi,kimi-k3,7432,8901,16333
102_ScaledDotProductAttention.py,kimi,kimi-k3,6267,1560,7827
102_ScaledDotProductAttention.py,kimi,kimi-k3,7334,20017,27351
102_ScaledDotProductAttention.py,kimi,kimi-k3,7840,14631,22471
102_ScaledDotProductAttention.py,kimi,kimi-k3,10165,5217,15382
102_ScaledDotProductAttention.py,kimi,kimi-k3,7782,6089,13871
102_ScaledDotProductAttention.py,kimi,kimi-k3,7908,4059,11967
102_ScaledDotProductAttention.py,kimi,kimi-k3,8033,11316,19349
102_ScaledDotProductAttention.py,kimi,kimi-k3,6883,1074,7957
102_ScaledDotProductAttention.py,kimi,kimi-k3,8009,2792,10801
102_ScaledDotProductAttention.py,kimi,kimi-k3,8051,10157,18208
102_ScaledDotProductAttention.py,kimi,kimi-k3,7109,968,8077
102_ScaledDotProductAttention.py,kimi,kimi-k3,8019,22253,30272
102_ScaledDotProductAttention.py,kimi,kimi-k3,8258,13615,21873
102_ScaledDotProductAttention.py,kimi,kimi-k3,8267,7162,15429
102_ScaledDotProductAttention.py,kimi,kimi-k3,7377,8294,15671
102_ScaledDotProductAttention.py,kimi,kimi-k3,8536,5913,14449
102_ScaledDotProductAttention.py,kimi,kimi-k3,7494,486,7980
102_ScaledDotProductAttention.py,kimi,kimi-k3,8610,15232,23842
102_ScaledDotProductAttention.py,kimi,kimi-k3,8700,7765,16465
105_LayerNorm_BigMean.py,kimi,kimi-k3,6447,19438,25885
105_LayerNorm_BigMean.py,kimi,kimi-k3,7833,10857,18690
105_LayerNorm_BigMean.py,kimi,kimi-k3,7544,7456,15000
105_LayerNorm_BigMean.py,kimi,kimi-k3,8038,14986,23024
105_LayerNorm_BigMean.py,kimi,kimi-k3,8305,3216,11521
105_LayerNorm_BigMean.py,kimi,kimi-k3,8305,15570,23875
105_LayerNorm_BigMean.py,kimi,kimi-k3,8368,27558,35926
105_LayerNorm_BigMean.py,kimi,kimi-k3,9131,3693,12824
105_LayerNorm_BigMean.py,kimi,kimi-k3,9319,2875,12194
105_LayerNorm_BigMean.py,kimi,kimi-k3,9558,10972,20530
105_LayerNorm_BigMean.py,kimi,kimi-k3,9996,5385,15381
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6328,8333,14661
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6157,2591,8748
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6157,3477,9634
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6447,5071,11518
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6948,5648,12596
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7164,9680,16844
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7290,4616,11906
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6227,366,6593
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7289,3349,10638
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6105,301,6406
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7255,13809,21064
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6720,7223,13943
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6749,10379,17128
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7049,5892,12941
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7255,8557,15812
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6446,28349,34795
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7064,21872,28936
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6486,410,6896
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7271,14806,22077
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7733,3560,11293
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8464,2776,11240
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7597,2572,10169
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7809,22980,30789
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9387,21038,30425
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9477,18042,27519
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9055,5208,14263
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9077,4763,13840
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10226,30904,41130
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10299,26267,36566
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11384,7963,19347
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11852,15377,27229
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11811,1178,12989
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11617,269,11886
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11870,11832,23702
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6730,6663,13393
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6310,6566,12876
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5915,2128,8043
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5923,8079,14002
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5813,5089,10902
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5993,6326,12319
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6237,3522,9759
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6237,5962,12199
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6273,1091,7364
