kernel,server_type,model,input_tokens,output_tokens,total_tokens
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6432,5900,12332
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6177,13440,19617
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4860,692,5552
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6588,6362,12950
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9775,20782,30557
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10341,3273,13614
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9210,7937,17147
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8506,390,8896
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9298,20904,30202
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9293,5188,14481
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7765,13580,21345
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7918,3044,10962
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7974,5595,13569
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8376,12674,21050
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8879,1692,10571
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7634,1129,8763
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8517,8660,17177
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8566,5862,14428
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8604,5021,13625
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7478,8616,16094
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6543,1824,8367
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8084,5752,13836
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8084,28854,36938
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6322,16740,23062
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7755,2794,10549
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7748,12363,20111
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8716,7780,16496
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8708,1572,10280
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8729,14014,22743
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,9382,7566,16948
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,9386,9586,18972
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,9896,7267,17163
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,10115,9232,19347
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,10745,8972,19717
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6672,22865,29537
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8531,6392,14923
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9436,4661,14097
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7050,6507,13557
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6209,2639,8848
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7353,5014,12367
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8841,3908,12749
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7556,3837,11393
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7799,7016,14815
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7084,4122,11206
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7886,11896,19782
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8114,8783,16897
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8312,8747,17059
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8412,8651,17063
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8352,17911,26263
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8719,22047,30766
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8971,11962,20933
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9239,20564,29803
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9068,1787,10855
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9376,6716,16092
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8933,713,9646
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9443,5115,14558
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9004,2485,11489
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,9326,7488,16814
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,8740,578,9318
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,10706,4887,15593
