kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,1004,7203,8207
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5881,14341,20222
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7245,5524,12769
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6339,1023,7362
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7046,14178,21224
1_Square_matrix_multiplication_.py,kimi,kimi-k3,7852,14010,21862
1_Square_matrix_multiplication_.py,kimi,kimi-k3,10871,9480,20351
1_Square_matrix_multiplication_.py,kimi,kimi-k3,10992,25965,36957
1_Square_matrix_multiplication_.py,kimi,kimi-k3,14899,18699,33598
1_Square_matrix_multiplication_.py,kimi,kimi-k3,15620,4361,19981
1_Square_matrix_multiplication_.py,kimi,kimi-k3,12455,32000,44455
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,1010,5533,6543
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5293,4029,9322
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5930,6647,12577
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5843,32000,37843
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,1052,7132,8184
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5052,15563,20615
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6643,13526,20169
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5570,9061,14631
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5277,21178,26455
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7315,6725,14040
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7203,9122,16325
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7560,4053,11613
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7311,4155,11466
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5687,418,6105
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7311,1501,8812
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5626,330,5956
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7311,4361,11672
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5938,435,6373
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7311,2254,9565
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5924,742,6666
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7311,1416,8727
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5707,463,6170
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7560,7329,14889
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7564,5271,12835
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7560,10263,17823
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7510,6703,14213
102_ScaledDotProductAttention.py,kimi,kimi-k3,1008,12939,13947
102_ScaledDotProductAttention.py,kimi,kimi-k3,7706,1097,8803
102_ScaledDotProductAttention.py,kimi,kimi-k3,6163,2095,8258
102_ScaledDotProductAttention.py,kimi,kimi-k3,7516,8922,16438
102_ScaledDotProductAttention.py,kimi,kimi-k3,9686,652,10338
102_ScaledDotProductAttention.py,kimi,kimi-k3,7709,20645,28354
