kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1010,13384,14394
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6642,6494,13136
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6816,35463,42279
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,14090,1140,15230
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,13507,773,14280
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15124,34635,49759
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,18333,38178,56511
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15769,3525,19294
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15848,445,16293
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15758,3009,18767
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,16206,3582,19788
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,17237,38602,55839
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,16416,27947,44363
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15140,9779,24919
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,15316,501,15817
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1063,13386,14449
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7677,1886,9563
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6297,607,6904
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7677,3216,10893
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6347,476,6823
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7677,2231,9908
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6493,485,6978
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7626,7649,15275
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6457,1706,8163
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7651,7887,15538
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6642,5480,12122
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7626,11634,19260
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6468,786,7254
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7703,18937,26640
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11320,7169,18489
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11080,1350,12430
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,12452,7939,20391
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11153,33102,44255
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,18971,13173,32144
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,19892,2769,22661
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,19874,41201,61075
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25627,15086,40713
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27234,1008,28242
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,29021,15627,44648
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25718,7128,32846
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27309,486,27795
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25718,8535,34253
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27532,585,28117
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25718,7485,33203
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27250,427,27677
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25718,9388,35106
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27426,372,27798
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,25718,5140,30858
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,27345,595,27940
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,29021,20154,49175
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11512,3767,15279
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10607,1264,11871
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11645,36029,47674
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,15435,18161,33596
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,15758,19553,35311
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,953,8786,9739
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6144,1429,7573
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4709,223,4932
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5979,25821,31800
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,9031,28929,37960
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8480,3862,12342
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7369,671,8040
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,9000,33015,42015
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,10664,31845,42509
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,19953,8306,28259
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,18172,14937,33109
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,18245,315,18560
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,18172,7386,25558
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,18625,393,19018
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,19953,20030,39983
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,20314,32272,52586
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,13564,29556,43120
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,12930,309,13239
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,14770,28813,43583
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,16347,31370,47717
