kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,1004,7384,8388
1_Square_matrix_multiplication_.py,kimi,kimi-k3,6321,31111,37432
1_Square_matrix_multiplication_.py,kimi,kimi-k3,17988,8091,26079
1_Square_matrix_multiplication_.py,kimi,kimi-k3,17333,32552,49885
1_Square_matrix_multiplication_.py,kimi,kimi-k3,17625,35413,53038
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25522,20281,45803
1_Square_matrix_multiplication_.py,kimi,kimi-k3,26023,2378,28401
1_Square_matrix_multiplication_.py,kimi,kimi-k3,26814,517,27331
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25674,6115,31789
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25682,5337,31019
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25936,5682,31618
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25932,2856,28788
1_Square_matrix_multiplication_.py,kimi,kimi-k3,25940,40736,66676
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,1010,5533,6543
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5661,29936,35597
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4517,572,5089
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5630,7708,13338
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4051,599,4650
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5956,2514,8470
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5953,13416,19369
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6362,11769,18131
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8019,5252,13271
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7664,8535,16199
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6551,1046,7597
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8178,30305,38483
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,9413,7812,17225
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8364,16422,24786
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8353,23154,31507
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8082,2449,10531
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6607,413,7020
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,7570,15271,22841
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,10646,1742,12388
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,9153,636,9789
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,8594,5851,14445
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1010,11118,12128
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6147,13874,20021
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7114,30211,37325
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9293,2655,11948
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9306,6592,15898
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8690,8796,17486
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,8655,8624,17279
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7651,316,7967
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9458,24718,34176
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,9364,17300,26664
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,11655,4964,16619
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,11562,16768,28330
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,11626,33507,45133
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,1052,9463,10515
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5469,2600,8069
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,3761,402,4163
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5341,23614,28955
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,9363,12790,22153
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,9380,23724,33104
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7056,4235,11291
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5696,1123,6819
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,7690,10423,18113
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6829,5232,12061
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6833,3578,10411
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,6939,26740,33679
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,8726,10419,19145
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,8682,19509,28191
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,9846,3869,13715
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,8772,640,9412
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,9120,3419,12539
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1063,24066,25129
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8370,1167,9537
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7013,367,7380
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,8865,5693,14558
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9713,32208,41921
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,16165,23006,39171
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,17692,8205,25897
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,17525,4651,22176
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,17867,16286,34153
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,15646,13411,29057
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,15477,10458,25935
