kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1010,10510,11520
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6400,8369,14769
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6933,10834,17767
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7158,20282,27440
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,11320,7011,18331
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,10690,3724,14414
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,12002,13126,25128
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1063,7409,8472
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6204,881,7085
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4310,299,4609
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5964,19027,24991
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,10787,12988,23775
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,9603,571,10174
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11372,12456,23828
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,11611,13630,25241
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,12549,3062,15611
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,12541,16748,29289
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,14785,14601,29386
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,15867,20057,35924
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,24408,14745,39153
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1010,11341,12351
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6892,7069,13961
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7175,2265,9440
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5778,733,6511
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,7125,16384,23509
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1063,8838,9901
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6547,1194,7741
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4882,283,5165
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6468,8232,14700
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,953,5161,6114
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5508,13187,18695
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7532,4906,12438
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6617,604,7221
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,7632,18202,25834
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8662,9241,17903
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,8724,19307,28031
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,10764,1964,12728
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,10765,16384,27149
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,1303,10128,11431
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7408,1351,8759
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6024,343,6367
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7378,6470,13848
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6254,3852,10106
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7412,19113,26525
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,11000,17967,28967
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,12356,4930,17286
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,12356,9867,22223
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,12292,34141,46433
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,13528,40405,53933
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,18176,30189,48365
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,17500,19170,36670
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,18509,891,19400
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,19294,10475,29769
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,19279,28498,47777
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,19747,9797,29544
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1351,7780,9131
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7413,1445,8858
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5887,511,6398
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7413,1151,8564
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6064,498,6562
