kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1236,10176,11412
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5028,5343,10371
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5257,9544,14801
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5793,3523,9316
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5797,4330,10127
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5797,4005,9802
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5797,19531,25328
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6525,23742,30267
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6622,12548,19170
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6994,5553,12547
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6931,15921,22852
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1289,2630,3919
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4889,2314,7203
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5079,17852,22931
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5621,1457,7078
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5833,7791,13624
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6172,10512,16684
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6467,3298,9765
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7150,8533,15683
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7349,7239,14588
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,7332,10115,17447
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,6821,7099,13920
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,1179,5372,6551
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5157,3495,8652
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5444,1584,7028
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,3762,331,4093
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5158,3456,8614
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5493,1408,6901
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,3842,1691,5533
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5158,2902,8060
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5158,4030,9188
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5158,2254,7412
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5157,5373,10530
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5926,12403,18329
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5549,8098,13647
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5540,13515,19055
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5555,2550,8105
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,1529,7884,9413
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5857,5194,11051
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6018,3901,9919
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6018,6775,12793
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6225,5839,12064
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6449,4427,10876
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5200,915,6115
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6257,12826,19083
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6403,3777,10180
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6615,1333,7948
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5058,645,5703
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7035,2173,9208
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7036,9953,16989
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6593,1341,7934
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5360,233,5593
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7035,4429,11464
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,7036,12671,19707
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1577,11387,12964
