kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,1230,5544,6774
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5134,1209,6343
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5529,4707,10236
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5066,998,6064
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5276,3008,8284
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5276,2137,7413
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5275,3427,8702
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5424,2239,7663
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5428,3099,8527
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5635,2931,8566
1_Square_matrix_multiplication_.py,kimi,kimi-k3,4175,542,4717
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5557,2051,7608
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5557,2047,7604
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5557,2443,8000
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5556,662,6218
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,1236,3461,4697
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4422,4810,9232
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4558,6461,11019
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4682,3628,8310
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4697,7548,12245
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4716,3394,8110
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4716,4178,8894
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4690,1098,5788
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4690,4582,9272
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4688,4332,9020
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4742,3016,7758
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,1278,3305,4583
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4615,7357,11972
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4609,5676,10285
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4609,4812,9421
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4628,2533,7161
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4606,1790,6396
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4607,8304,12911
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4939,6397,11336
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4490,9653,14143
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4573,11970,16543
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4695,3020,7715
102_ScaledDotProductAttention.py,kimi,kimi-k3,1234,15771,17005
102_ScaledDotProductAttention.py,kimi,kimi-k3,5311,6266,11577
102_ScaledDotProductAttention.py,kimi,kimi-k3,5643,16258,21901
102_ScaledDotProductAttention.py,kimi,kimi-k3,5529,340,5869
102_ScaledDotProductAttention.py,kimi,kimi-k3,5797,5316,11113
102_ScaledDotProductAttention.py,kimi,kimi-k3,4714,1090,5804
102_ScaledDotProductAttention.py,kimi,kimi-k3,5897,1996,7893
102_ScaledDotProductAttention.py,kimi,kimi-k3,4216,960,5176
102_ScaledDotProductAttention.py,kimi,kimi-k3,5904,3247,9151
102_ScaledDotProductAttention.py,kimi,kimi-k3,4351,556,4907
102_ScaledDotProductAttention.py,kimi,kimi-k3,5651,1746,7397
102_ScaledDotProductAttention.py,kimi,kimi-k3,5655,13516,19171
102_ScaledDotProductAttention.py,kimi,kimi-k3,5947,3265,9212
102_ScaledDotProductAttention.py,kimi,kimi-k3,4544,606,5150
102_ScaledDotProductAttention.py,kimi,kimi-k3,5722,782,6504
102_ScaledDotProductAttention.py,kimi,kimi-k3,5734,2896,8630
102_ScaledDotProductAttention.py,kimi,kimi-k3,5732,29101,34833
102_ScaledDotProductAttention.py,kimi,kimi-k3,5814,3848,9662
102_ScaledDotProductAttention.py,kimi,kimi-k3,5890,6026,11916
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,1179,4906,6085
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5417,867,6284
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5433,15835,21268
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5938,7241,13179
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5989,3474,9463
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5486,5622,11108
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5422,1899,7321
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5422,6493,11915
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5422,10195,15617
103_Conv2D_SquareKernel11.py,kimi,kimi-k3,5415,6123,11538
