kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,1230,3267,4497
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5213,1722,6935
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5197,3929,9126
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5340,2840,8180
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5336,6961,12297
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5352,3861,9213
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5341,638,5979
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5352,10149,15501
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,1236,3421,4657
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5183,3595,8778
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5671,12414,18085
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5630,2033,7663
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5661,3305,8966
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5877,3968,9845
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6045,8503,14548
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,5609,1133,6742
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,3912,960,4872
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6052,2759,8811
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6097,7875,13972
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6339,6391,12730
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6112,1200,7312
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4510,875,5385
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6415,11277,17692
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,6016,14133,20149
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4348,735,5083
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1236,14975,16211
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5302,3782,9084
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5292,20325,25617
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5541,6474,12015
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5541,5442,10983
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5613,7548,13161
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5556,2252,7808
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4630,1351,5981
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5556,2224,7780
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4066,700,4766
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5602,6448,12050
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,3925,825,4750
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5638,1162,6800
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,3840,305,4145
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5899,16204,22103
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6424,9879,16303
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6066,6118,12184
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,5081,857,5938
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6452,10516,16968
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6503,5736,12239
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,6602,8643,15245
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,1278,4818,6096
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5198,10816,16014
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5191,8885,14076
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5323,5447,10770
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5471,14823,20294
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5411,2597,8008
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5505,11578,17083
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5507,4009,9516
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5624,4606,10230
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5624,3974,9598
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5620,5266,10886
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1289,4419,5708
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5412,4938,10350
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5260,1432,6692
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5523,2519,8042
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5592,4210,9802
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5260,17381,22641
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5582,3882,9464
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5550,17687,23237
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5608,6417,12025
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5616,4415,10031
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5308,6772,12080
21_Sigmoid.py,kimi,kimi-k3,1205,2902,4107
21_Sigmoid.py,kimi,kimi-k3,4620,610,5230
21_Sigmoid.py,kimi,kimi-k3,4620,1721,6341
21_Sigmoid.py,kimi,kimi-k3,4620,1735,6355
21_Sigmoid.py,kimi,kimi-k3,4620,2669,7289
21_Sigmoid.py,kimi,kimi-k3,4620,519,5139
21_Sigmoid.py,kimi,kimi-k3,4620,4391,9011
21_Sigmoid.py,kimi,kimi-k3,4620,1050,5670
21_Sigmoid.py,kimi,kimi-k3,4620,321,4941
21_Sigmoid.py,kimi,kimi-k3,4619,761,5380
21_Sigmoid.py,kimi,kimi-k3,4620,5419,10039
22_Tanh.py,kimi,kimi-k3,1205,1511,2716
22_Tanh.py,kimi,kimi-k3,4648,788,5436
22_Tanh.py,kimi,kimi-k3,4648,2877,7525
22_Tanh.py,kimi,kimi-k3,4648,1881,6529
22_Tanh.py,kimi,kimi-k3,4673,2101,6774
22_Tanh.py,kimi,kimi-k3,4671,1061,5732
22_Tanh.py,kimi,kimi-k3,4772,3840,8612
