kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,1236,5115,6351
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4831,7167,11998
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4962,2711,7673
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4961,4675,9636
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4961,2110,7071
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4961,2533,7494
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4961,3807,8768
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4962,2100,7062
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4993,4542,9535
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4992,2521,7513
6_Matmul_with_large_K_dimension_.py,kimi,kimi-k3,4993,3305,8298
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,1289,3889,5178
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4700,3137,7837
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4743,2953,7696
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4970,2702,7672
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,4977,8292,13269
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5108,15062,20170
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5376,2927,8303
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5375,3597,8972
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5718,6565,12283
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,3874,198,4072
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5375,8684,14059
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5379,5160,10539
14_Matmul_for_upper_triangular_matrices.py,kimi,kimi-k3,5379,2008,7387
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,1179,4862,6041
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5327,2217,7544
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5327,3117,8444
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5323,1435,6758
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5396,2552,7948
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5507,8689,14196
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5848,1481,7329
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4340,388,4728
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5628,6826,12454
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5719,2501,8220
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6109,1265,7374
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4630,512,5142
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5782,4043,9825
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6024,3658,9682
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4845,638,5483
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6024,4383,10407
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,4622,2387,7009
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,5840,7258,13098
50_conv_standard_2D__square_input__square_kernel.py,kimi,kimi-k3,6029,4252,10281
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,1529,10101,11630
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5978,9441,15419
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6521,4761,11282
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5020,2187,7207
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6353,8236,14589
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6361,271,6632
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6361,739,7100
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6361,13647,20008
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6487,11718,18205
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6485,2874,9359
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6812,1894,8706
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5280,452,5732
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6812,1426,8238
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5234,508,5742
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6584,2556,9140
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6749,1248,7997
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,5050,395,5445
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6592,6231,12823
61_conv_transposed_3D__square_input__square_kernel.py,kimi,kimi-k3,6592,11054,17646
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1577,9997,11574
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6455,13481,19936
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6544,10363,16907
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6544,3247,9791
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6544,16114,22658
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6544,10736,17280
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6719,7081,13800
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6720,10999,17719
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6527,19480,26007
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6470,2616,9086
70_conv_transposed_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6469,1534,8003
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,1571,5863,7434
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6589,12073,18662
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6822,8483,15305
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6930,5019,11949
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6942,2004,8946
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6941,11401,18342
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6981,2566,9547
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6981,4993,11974
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6999,1621,8620
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6999,1777,8776
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6909,9109,16018
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,5658,1077,6735
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,6999,3909,10908
105_LayerNorm_BigMean.py,kimi,kimi-k3,1290,7570,8860
105_LayerNorm_BigMean.py,kimi,kimi-k3,4757,3375,8132
105_LayerNorm_BigMean.py,kimi,kimi-k3,4757,5261,10018
105_LayerNorm_BigMean.py,kimi,kimi-k3,4890,9318,14208
105_LayerNorm_BigMean.py,kimi,kimi-k3,5072,4576,9648
105_LayerNorm_BigMean.py,kimi,kimi-k3,5379,6073,11452
105_LayerNorm_BigMean.py,kimi,kimi-k3,5454,18274,23728
105_LayerNorm_BigMean.py,kimi,kimi-k3,5484,3855,9339
105_LayerNorm_BigMean.py,kimi,kimi-k3,5067,8570,13637
105_LayerNorm_BigMean.py,kimi,kimi-k3,5555,4321,9876
105_LayerNorm_BigMean.py,kimi,kimi-k3,5555,5572,11127
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,1171,5104,6275
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5127,6089,11216
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5147,4195,9342
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5480,1211,6691
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,3952,327,4279
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5115,4748,9863
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5092,2226,7318
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5092,3645,8737
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5092,22130,27222
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5285,6111,11396
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5285,3768,9053
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5534,4548,10082
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5107,1163,6270
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5534,2325,7859
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,4035,2088,6123
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5100,7428,12528
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5224,2418,7642
