kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,kimi,kimi-k3,1230,3637,4867
1_Square_matrix_multiplication_.py,kimi,kimi-k3,4940,4400,9340
1_Square_matrix_multiplication_.py,kimi,kimi-k3,4991,3897,8888
1_Square_matrix_multiplication_.py,kimi,kimi-k3,4977,7800,12777
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5269,10771,16040
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5423,3250,8673
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5563,3494,9057
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5563,1305,6868
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5832,2147,7979
1_Square_matrix_multiplication_.py,kimi,kimi-k3,4312,478,4790
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5562,3792,9354
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5567,4308,9875
1_Square_matrix_multiplication_.py,kimi,kimi-k3,5567,1940,7507
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,1236,2034,3270
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4341,2763,7104
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4393,4541,8934
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4467,2547,7014
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4969,2396,7365
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,3033,399,3432
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4467,11895,16362
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4873,6467,11340
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4873,4363,9236
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4875,3035,7910
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4875,4263,9138
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4873,3044,7917
4_Matrix_vector_multiplication_.py,kimi,kimi-k3,4873,8305,13178
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,1278,4591,5869
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4992,6903,11895
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4938,4257,9195
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4937,6304,11241
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4936,5715,10651
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4960,8378,13338
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4978,5724,10702
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4978,2742,7720
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4978,3553,8531
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5485,3412,8897
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,4530,254,4784
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5127,4426,9553
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5462,2279,7741
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,3813,559,4372
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5463,1297,6760
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,3859,284,4143
9_Tall_skinny_matrix_multiplication_.py,kimi,kimi-k3,5131,4930,10061
21_Sigmoid.py,kimi,kimi-k3,1205,3005,4210
21_Sigmoid.py,kimi,kimi-k3,4090,2389,6479
21_Sigmoid.py,kimi,kimi-k3,4101,746,4847
21_Sigmoid.py,kimi,kimi-k3,4101,622,4723
21_Sigmoid.py,kimi,kimi-k3,4101,4016,8117
21_Sigmoid.py,kimi,kimi-k3,4201,2253,6454
21_Sigmoid.py,kimi,kimi-k3,4308,976,5284
21_Sigmoid.py,kimi,kimi-k3,4308,2435,6743
21_Sigmoid.py,kimi,kimi-k3,4442,2625,7067
21_Sigmoid.py,kimi,kimi-k3,4440,2434,6874
21_Sigmoid.py,kimi,kimi-k3,4909,2385,7294
21_Sigmoid.py,kimi,kimi-k3,3434,919,4353
21_Sigmoid.py,kimi,kimi-k3,4421,625,5046
22_Tanh.py,kimi,kimi-k3,1205,881,2086
22_Tanh.py,kimi,kimi-k3,4087,2171,6258
22_Tanh.py,kimi,kimi-k3,4654,1370,6024
22_Tanh.py,kimi,kimi-k3,2888,410,3298
22_Tanh.py,kimi,kimi-k3,4128,1833,5961
22_Tanh.py,kimi,kimi-k3,4117,1951,6068
22_Tanh.py,kimi,kimi-k3,4117,3027,7144
22_Tanh.py,kimi,kimi-k3,4175,734,4909
22_Tanh.py,kimi,kimi-k3,4118,4659,8777
22_Tanh.py,kimi,kimi-k3,4177,3877,8054
22_Tanh.py,kimi,kimi-k3,4134,3630,7764
22_Tanh.py,kimi,kimi-k3,4359,4060,8419
22_Tanh.py,kimi,kimi-k3,4389,1046,5435
22_Tanh.py,kimi,kimi-k3,4911,1321,6232
22_Tanh.py,kimi,kimi-k3,3067,1557,4624
33_BatchNorm.py,kimi,kimi-k3,1259,12443,13702
33_BatchNorm.py,kimi,kimi-k3,5329,2882,8211
33_BatchNorm.py,kimi,kimi-k3,5305,1117,6422
33_BatchNorm.py,kimi,kimi-k3,5311,2198,7509
33_BatchNorm.py,kimi,kimi-k3,5306,3169,8475
33_BatchNorm.py,kimi,kimi-k3,5306,9092,14398
33_BatchNorm.py,kimi,kimi-k3,5296,1938,7234
33_BatchNorm.py,kimi,kimi-k3,5302,7276,12578
33_BatchNorm.py,kimi,kimi-k3,5748,3547,9295
33_BatchNorm.py,kimi,kimi-k3,3641,727,4368
33_BatchNorm.py,kimi,kimi-k3,5480,2291,7771
33_BatchNorm.py,kimi,kimi-k3,5843,1319,7162
33_BatchNorm.py,kimi,kimi-k3,4376,941,5317
33_BatchNorm.py,kimi,kimi-k3,5480,3233,8713
33_BatchNorm.py,kimi,kimi-k3,5488,8306,13794
33_BatchNorm.py,kimi,kimi-k3,5852,13157,19009
33_BatchNorm.py,kimi,kimi-k3,5973,20850,26823
40_LayerNorm.py,kimi,kimi-k3,1264,2713,3977
40_LayerNorm.py,kimi,kimi-k3,4672,1183,5855
40_LayerNorm.py,kimi,kimi-k3,4622,3473,8095
40_LayerNorm.py,kimi,kimi-k3,4672,3565,8237
40_LayerNorm.py,kimi,kimi-k3,5221,3269,8490
40_LayerNorm.py,kimi,kimi-k3,5270,2383,7653
40_LayerNorm.py,kimi,kimi-k3,5975,6019,11994
40_LayerNorm.py,kimi,kimi-k3,5976,5267,11243
40_LayerNorm.py,kimi,kimi-k3,6657,3953,10610
40_LayerNorm.py,kimi,kimi-k3,6657,10596,17253
40_LayerNorm.py,kimi,kimi-k3,7512,2223,9735
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,1253,3240,4493
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4583,9148,13731
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4583,3179,7762
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4748,2519,7267
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4583,5131,9714
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4593,2431,7024
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4591,5967,10558
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4526,3491,8017
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4726,2504,7230
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4726,5280,10006
49_Max_reduction_over_a_dimension.py,kimi,kimi-k3,4725,5127,9852
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,1253,4827,6080
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4626,2137,6763
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4653,3686,8339
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4654,25752,30406
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4909,1536,6445
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,4909,3577,8486
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5138,1888,7026
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5138,4336,9474
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5138,3527,8665
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5181,4478,9659
53_Min_reduction_over_a_dimension.py,kimi,kimi-k3,5181,5697,10878
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,1514,13010,14524
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6414,2453,8867
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6485,1099,7584
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,4879,692,5571
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6414,19338,25752
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6705,5025,11730
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6821,4325,11146
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,6980,1397,8377
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7072,5860,12932
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7210,3006,10216
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7211,3088,10299
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7236,7418,14654
54_conv_standard_3D__square_input__square_kernel.py,kimi,kimi-k3,7388,3731,11119
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1522,7491,9013
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5994,4104,10098
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6093,1683,7776
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6096,4378,10474
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6096,4379,10475
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6096,8821,14917
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6096,2746,8842
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6169,17155,23324
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6314,2830,9144
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6540,2944,9484
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5168,321,5489
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6314,4114,10428
55_conv_standard_2D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6452,4865,11317
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,1622,7861,9483
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6328,1300,7628
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6328,2620,8948
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6564,3997,10561
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,5446,1909,7355
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6328,638,6966
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6328,1336,7664
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6445,1787,8232
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,5266,482,5748
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6381,2495,8876
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6374,1724,8098
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6407,4121,10528
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6415,5545,11960
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6411,1876,8287
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,kimi,kimi-k3,6416,3821,10237
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,1522,17891,19413
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5956,6112,12068
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6253,3535,9788
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6253,20278,26531
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6621,4176,10797
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,5275,556,5831
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6427,9722,16149
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,6865,11027,17892
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7012,11517,18529
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7187,9286,16473
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7331,2178,9509
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7331,6088,13419
59_conv_standard_3D__asymmetric_input__square_kernel.py,kimi,kimi-k3,7404,23261,30665
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,1510,6918,8428
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6115,12928,19043
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6256,6364,12620
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6406,3703,10109
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,5154,929,6083
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6332,13634,19966
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6291,7398,13689
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6397,2790,9187
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6323,3757,10080
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6459,1497,7956
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,4946,404,5350
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6459,973,7432
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,4957,345,5302
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6459,3349,9808
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,5124,350,5474
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6459,1647,8106
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,4863,197,5060
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6454,1304,7758
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,4924,344,5268
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6323,7389,13712
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6280,9206,15486
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,kimi,kimi-k3,6419,3790,10209
