kernel,server_type,model,input_tokens,output_tokens,total_tokens
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,715,4424,5139
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6842,4191,11033
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5569,2826,8395
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5177,3003,8180
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3555,2533,6088
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6122,3831,9953
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4630,3651,8281
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5236,4174,9410
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3977,1745,5722
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6169,6257,12426
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4096,1252,5348
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6842,3539,10381
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5429,3427,8856
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5191,3331,8522
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3707,2377,6084
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4976,3880,8856
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5284,5931,11215
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5524,6233,11757
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,8943,4180,13123
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,7471,5124,12595
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6195,8010,14205
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,6310,12183,18493
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,7255,7137,14392
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,8058,5683,13741
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,8687,5527,14214
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,7377,2456,9833
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,8094,3761,11855
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,7645,7240,14885
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,7326,8822,16148
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,11234,6712,17946
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,12030,4427,16457
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,12454,6115,18569
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,13165,6100,19265
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,10720,7109,17829
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,9329,4149,13478
88_MinGPTNewGelu.py,openai,gpt-5,674,4484,5158
88_MinGPTNewGelu.py,openai,gpt-5,4579,4295,8874
88_MinGPTNewGelu.py,openai,gpt-5,5130,4364,9494
88_MinGPTNewGelu.py,openai,gpt-5,6755,3491,10246
88_MinGPTNewGelu.py,openai,gpt-5,5656,3641,9297
88_MinGPTNewGelu.py,openai,gpt-5,5168,4904,10072
88_MinGPTNewGelu.py,openai,gpt-5,4987,2615,7602
88_MinGPTNewGelu.py,openai,gpt-5,4987,4591,9578
88_MinGPTNewGelu.py,openai,gpt-5,4987,3119,8106
88_MinGPTNewGelu.py,openai,gpt-5,4987,1775,6762
88_MinGPTNewGelu.py,openai,gpt-5,4987,6469,11456
88_MinGPTNewGelu.py,openai,gpt-5,6872,4825,11697
88_MinGPTNewGelu.py,openai,gpt-5,5454,3197,8651
88_MinGPTNewGelu.py,openai,gpt-5,4982,4143,9125
88_MinGPTNewGelu.py,openai,gpt-5,4982,1967,6949
99_TripletMarginLoss.py,openai,gpt-5,661,6581,7242
99_TripletMarginLoss.py,openai,gpt-5,6449,5015,11464
99_TripletMarginLoss.py,openai,gpt-5,4670,2501,7171
99_TripletMarginLoss.py,openai,gpt-5,5563,3774,9337
99_TripletMarginLoss.py,openai,gpt-5,3788,2647,6435
99_TripletMarginLoss.py,openai,gpt-5,5885,4001,9886
99_TripletMarginLoss.py,openai,gpt-5,7081,2169,9250
99_TripletMarginLoss.py,openai,gpt-5,5336,631,5967
99_TripletMarginLoss.py,openai,gpt-5,6382,4357,10739
99_TripletMarginLoss.py,openai,gpt-5,6628,5773,12401
99_TripletMarginLoss.py,openai,gpt-5,6360,2748,9108
99_TripletMarginLoss.py,openai,gpt-5,4478,690,5168
99_TripletMarginLoss.py,openai,gpt-5,6743,9636,16379
99_TripletMarginLoss.py,openai,gpt-5,7683,4627,12310
99_TripletMarginLoss.py,openai,gpt-5,7701,9571,17272
99_TripletMarginLoss.py,openai,gpt-5,7626,3609,11235
99_TripletMarginLoss.py,openai,gpt-5,6081,1934,8015
99_TripletMarginLoss.py,openai,gpt-5,8455,7081,15536
99_TripletMarginLoss.py,openai,gpt-5,8667,2759,11426
99_TripletMarginLoss.py,openai,gpt-5,8773,3595,12368
99_TripletMarginLoss.py,openai,gpt-5,7430,1072,8502
99_TripletMarginLoss.py,openai,gpt-5,8506,2604,11110
99_TripletMarginLoss.py,openai,gpt-5,8857,3105,11962
99_TripletMarginLoss.py,openai,gpt-5,7411,2439,9850
99_TripletMarginLoss.py,openai,gpt-5,8506,4544,13050
99_TripletMarginLoss.py,openai,gpt-5,8842,6742,15584
99_TripletMarginLoss.py,openai,gpt-5,7517,2723,10240
102_ScaledDotProductAttention.py,openai,gpt-5,671,6832,7503
102_ScaledDotProductAttention.py,openai,gpt-5,7984,4506,12490
102_ScaledDotProductAttention.py,openai,gpt-5,7535,3287,10822
102_ScaledDotProductAttention.py,openai,gpt-5,6135,4066,10201
102_ScaledDotProductAttention.py,openai,gpt-5,4795,3492,8287
102_ScaledDotProductAttention.py,openai,gpt-5,6071,2710,8781
102_ScaledDotProductAttention.py,openai,gpt-5,4138,2065,6203
102_ScaledDotProductAttention.py,openai,gpt-5,7008,2943,9951
102_ScaledDotProductAttention.py,openai,gpt-5,4991,1548,6539
102_ScaledDotProductAttention.py,openai,gpt-5,6180,6818,12998
102_ScaledDotProductAttention.py,openai,gpt-5,6307,4451,10758
102_ScaledDotProductAttention.py,openai,gpt-5,6923,6397,13320
102_ScaledDotProductAttention.py,openai,gpt-5,6966,8034,15000
102_ScaledDotProductAttention.py,openai,gpt-5,9502,5246,14748
102_ScaledDotProductAttention.py,openai,gpt-5,8387,2324,10711
102_ScaledDotProductAttention.py,openai,gpt-5,6776,7595,14371
102_ScaledDotProductAttention.py,openai,gpt-5,6942,9046,15988
102_ScaledDotProductAttention.py,openai,gpt-5,7682,6082,13764
102_ScaledDotProductAttention.py,openai,gpt-5,6914,6553,13467
102_ScaledDotProductAttention.py,openai,gpt-5,7522,12498,20020
102_ScaledDotProductAttention.py,openai,gpt-5,9506,3715,13221
102_ScaledDotProductAttention.py,openai,gpt-5,8529,9194,17723
102_ScaledDotProductAttention.py,openai,gpt-5,9829,12912,22741
103_Conv2D_SquareKernel11.py,openai,gpt-5,616,5280,5896
103_Conv2D_SquareKernel11.py,openai,gpt-5,8664,5407,14071
103_Conv2D_SquareKernel11.py,openai,gpt-5,8247,4456,12703
103_Conv2D_SquareKernel11.py,openai,gpt-5,5847,7120,12967
103_Conv2D_SquareKernel11.py,openai,gpt-5,6508,11208,17716
103_Conv2D_SquareKernel11.py,openai,gpt-5,6912,3909,10821
103_Conv2D_SquareKernel11.py,openai,gpt-5,5243,3197,8440
103_Conv2D_SquareKernel11.py,openai,gpt-5,9193,2687,11880
103_Conv2D_SquareKernel11.py,openai,gpt-5,7519,2504,10023
103_Conv2D_SquareKernel11.py,openai,gpt-5,7199,2791,9990
103_Conv2D_SquareKernel11.py,openai,gpt-5,7199,8222,15421
103_Conv2D_SquareKernel11.py,openai,gpt-5,7011,5907,12918
103_Conv2D_SquareKernel11.py,openai,gpt-5,8495,3776,12271
103_Conv2D_SquareKernel11.py,openai,gpt-5,8499,3131,11630
103_Conv2D_SquareKernel11.py,openai,gpt-5,8495,8089,16584
103_Conv2D_SquareKernel11.py,openai,gpt-5,7929,2770,10699
103_Conv2D_SquareKernel11.py,openai,gpt-5,6409,1242,7651
103_Conv2D_SquareKernel11.py,openai,gpt-5,8517,9576,18093
103_Conv2D_SquareKernel11.py,openai,gpt-5,8933,2594,11527
103_Conv2D_SquareKernel11.py,openai,gpt-5,7922,4125,12047
103_Conv2D_SquareKernel11.py,openai,gpt-5,9694,11873,21567
105_LayerNorm_BigMean.py,openai,gpt-5,727,8647,9374
105_LayerNorm_BigMean.py,openai,gpt-5,6829,4129,10958
105_LayerNorm_BigMean.py,openai,gpt-5,5081,1583,6664
105_LayerNorm_BigMean.py,openai,gpt-5,6446,8061,14507
105_LayerNorm_BigMean.py,openai,gpt-5,6618,3366,9984
105_LayerNorm_BigMean.py,openai,gpt-5,5105,3485,8590
105_LayerNorm_BigMean.py,openai,gpt-5,7369,10573,17942
105_LayerNorm_BigMean.py,openai,gpt-5,7782,4294,12076
105_LayerNorm_BigMean.py,openai,gpt-5,6542,2243,8785
105_LayerNorm_BigMean.py,openai,gpt-5,8708,11322,20030
105_LayerNorm_BigMean.py,openai,gpt-5,8842,5489,14331
105_LayerNorm_BigMean.py,openai,gpt-5,9538,3072,12610
105_LayerNorm_BigMean.py,openai,gpt-5,9547,4348,13895
105_LayerNorm_BigMean.py,openai,gpt-5,9775,8580,18355
105_LayerNorm_BigMean.py,openai,gpt-5,10383,8114,18497
105_LayerNorm_BigMean.py,openai,gpt-5,9168,4554,13722
105_LayerNorm_BigMean.py,openai,gpt-5,8221,3989,12210
105_LayerNorm_BigMean.py,openai,gpt-5,10448,4063,14511
105_LayerNorm_BigMean.py,openai,gpt-5,9668,3007,12675
105_LayerNorm_BigMean.py,openai,gpt-5,10473,4015,14488
105_LayerNorm_BigMean.py,openai,gpt-5,10473,11437,21910
105_LayerNorm_BigMean.py,openai,gpt-5,10029,3402,13431
105_LayerNorm_BigMean.py,openai,gpt-5,8958,3607,12565
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,608,6628,7236
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,6668,3165,9833
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,4749,1308,6057
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,5702,7247,12949
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,7139,9507,16646
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,9120,3041,12161
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,8360,1555,9915
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,7839,7547,15386
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,10741,8311,19052
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,14782,11024,25806
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,23149,4944,28093
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,23553,8077,31630
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,23020,3337,26357
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,24283,1663,25946
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,23704,3201,26905
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,23806,8847,32653
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,24408,3021,27429
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,25006,1986,26992
107_Conv2D_SquareKernel3_bf16.py,openai,gpt-5,24318,1812,26130
