kernel,server_type,model,input_tokens,output_tokens,total_tokens
4_Matrix_vector_multiplication_.py,openai,gpt-5,925,8011,8936
4_Matrix_vector_multiplication_.py,openai,gpt-5,8673,3673,12346
4_Matrix_vector_multiplication_.py,openai,gpt-5,7095,3202,10297
4_Matrix_vector_multiplication_.py,openai,gpt-5,6133,4604,10737
4_Matrix_vector_multiplication_.py,openai,gpt-5,4340,984,5324
4_Matrix_vector_multiplication_.py,openai,gpt-5,6005,10636,16641
4_Matrix_vector_multiplication_.py,openai,gpt-5,7134,4522,11656
4_Matrix_vector_multiplication_.py,openai,gpt-5,5601,2010,7611
4_Matrix_vector_multiplication_.py,openai,gpt-5,7203,3776,10979
4_Matrix_vector_multiplication_.py,openai,gpt-5,5312,1223,6535
4_Matrix_vector_multiplication_.py,openai,gpt-5,7101,8255,15356
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,967,7580,8547
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5521,8176,13697
102_ScaledDotProductAttention.py,openai,gpt-5,923,12393,13316
102_ScaledDotProductAttention.py,openai,gpt-5,7596,5224,12820
102_ScaledDotProductAttention.py,openai,gpt-5,6627,10127,16754
102_ScaledDotProductAttention.py,openai,gpt-5,7668,7988,15656
102_ScaledDotProductAttention.py,openai,gpt-5,6449,8151,14600
102_ScaledDotProductAttention.py,openai,gpt-5,7698,7569,15267
21_Sigmoid.py,openai,gpt-5,894,4980,5874
21_Sigmoid.py,openai,gpt-5,4823,8977,13800
21_Sigmoid.py,openai,gpt-5,5973,5183,11156
21_Sigmoid.py,openai,gpt-5,6418,4826,11244
21_Sigmoid.py,openai,gpt-5,6450,2992,9442
21_Sigmoid.py,openai,gpt-5,6196,2611,8807
21_Sigmoid.py,openai,gpt-5,4338,1337,5675
21_Sigmoid.py,openai,gpt-5,6515,1337,7852
21_Sigmoid.py,openai,gpt-5,6447,6165,12612
21_Sigmoid.py,openai,gpt-5,7118,2186,9304
21_Sigmoid.py,openai,gpt-5,7122,2184,9306
21_Sigmoid.py,openai,gpt-5,7126,5217,12343
21_Sigmoid.py,openai,gpt-5,7130,3813,10943
21_Sigmoid.py,openai,gpt-5,6804,3493,10297
21_Sigmoid.py,openai,gpt-5,5174,1887,7061
22_Tanh.py,openai,gpt-5,894,6655,7549
22_Tanh.py,openai,gpt-5,4896,6111,11007
88_MinGPTNewGelu.py,openai,gpt-5,926,4696,5622
88_MinGPTNewGelu.py,openai,gpt-5,5272,4150,9422
88_MinGPTNewGelu.py,openai,gpt-5,3218,1090,4308
88_MinGPTNewGelu.py,openai,gpt-5,4892,5767,10659
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,1203,14639,15842
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,8963,4185,13148
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,7872,4966,12838
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,9467,19530,28997
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,9619,4132,13751
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,9192,3241,12433
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,9660,2962,12622
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,8380,1166,9546
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,9620,10024,19644
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,8857,2601,11458
54_conv_standard_3D__square_input__square_kernel.py,openai,gpt-5,10200,10290,20490
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,openai,gpt-5,1314,11302,12616
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,openai,gpt-5,8407,12297,20704
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,openai,gpt-5,1199,8368,9567
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,openai,gpt-5,7911,9286,17197
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,openai,gpt-5,1143,10632,11775
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,openai,gpt-5,7511,4164,11675
83_conv_depthwise_2D_square_input_asymmetric_kernel.py,openai,gpt-5,6513,6807,13320
