kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5,919,8358,9277
1_Square_matrix_multiplication_.py,openai,gpt-5,7226,7582,14808
1_Square_matrix_multiplication_.py,openai,gpt-5,7653,9518,17171
1_Square_matrix_multiplication_.py,openai,gpt-5,6824,2791,9615
1_Square_matrix_multiplication_.py,openai,gpt-5,4866,2133,6999
1_Square_matrix_multiplication_.py,openai,gpt-5,6831,7480,14311
1_Square_matrix_multiplication_.py,openai,gpt-5,5390,4028,9418
1_Square_matrix_multiplication_.py,openai,gpt-5,6863,3245,10108
1_Square_matrix_multiplication_.py,openai,gpt-5,4795,851,5646
1_Square_matrix_multiplication_.py,openai,gpt-5,6863,4073,10936
1_Square_matrix_multiplication_.py,openai,gpt-5,5047,2347,7394
1_Square_matrix_multiplication_.py,openai,gpt-5,6831,5185,12016
1_Square_matrix_multiplication_.py,openai,gpt-5,5080,3847,8927
1_Square_matrix_multiplication_.py,openai,gpt-5,6898,3716,10614
1_Square_matrix_multiplication_.py,openai,gpt-5,5045,1748,6793
1_Square_matrix_multiplication_.py,openai,gpt-5,6890,6027,12917
1_Square_matrix_multiplication_.py,openai,gpt-5,5812,6817,12629
1_Square_matrix_multiplication_.py,openai,gpt-5,6784,3248,10032
1_Square_matrix_multiplication_.py,openai,gpt-5,5231,4992,10223
1_Square_matrix_multiplication_.py,openai,gpt-5,6933,4713,11646
1_Square_matrix_multiplication_.py,openai,gpt-5,5397,1577,6974
1_Square_matrix_multiplication_.py,openai,gpt-5,6831,5865,12696
1_Square_matrix_multiplication_.py,openai,gpt-5,5183,4591,9774
1_Square_matrix_multiplication_.py,openai,gpt-5,6880,2853,9733
1_Square_matrix_multiplication_.py,openai,gpt-5,4868,1518,6386
1_Square_matrix_multiplication_.py,openai,gpt-5,6714,6090,12804
