kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,2061,2878,4939
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8377,1972,10349
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,11615,646,12261
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,7110,1765,8875
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,6058,332,6390
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,5888,1543,7431
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,6247,2007,8254
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,6249,3796,10045
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,7814,3601,11415
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,12864,2591,15455
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,12044,407,12451
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,7885,3105,10990
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,10046,4171,14217
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,10584,1815,12399
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,7886,1525,9411
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,11972,2500,14472
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8603,4220,12823
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,9309,2612,11921
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,12009,3437,15446
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8340,3108,11448
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8853,3569,12422
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,9023,1439,10462
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8750,3538,12288
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8610,561,9171
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,11827,4169,15996
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8027,1844,9871
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,7782,4642,12424
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8029,1526,9555
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,8812,2276,11088
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,12354,821,13175
