kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,1146,1932,3078
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4770,1843,6613
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4769,611,5380
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4770,928,5698
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4769,1984,6753
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4928,1019,5947
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4927,611,5538
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4927,396,5323
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4927,1125,6052
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,5190,1611,6801
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,3678,400,4078
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4928,611,5539
1_Square_matrix_multiplication_.py,openai,gpt-5.6-luna,4928,348,5276
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,1152,2788,3940
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4515,904,5419
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4515,654,5169
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4515,1050,5565
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4515,1683,6198
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4507,651,5158
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4514,1133,5647
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4514,917,5431
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4514,557,5071
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4514,2361,6875
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,5015,3008,8023
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,3896,1714,5610
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,5067,2243,7310
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,3543,751,4294
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,4602,663,5265
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,5067,2150,7217
4_Matrix_vector_multiplication_.py,openai,gpt-5.6-luna,3450,605,4055
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,1152,3520,4672
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,5082,2377,7459
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,3754,229,3983
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4774,2521,7295
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4879,543,5422
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4878,564,5442
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4879,808,5687
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4879,308,5187
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4879,611,5490
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4879,607,5486
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,5204,1332,6536
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,3349,1232,4581
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4878,466,5344
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4878,559,5437
6_Matmul_with_large_K_dimension_.py,openai,gpt-5.6-luna,4878,609,5487
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,1194,2462,3656
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,508,5334
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,652,5478
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,1024,5850
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,465,5291
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,1012,5838
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,693,5519
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4825,1131,5956
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4825,1310,6135
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,501,5327
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5.6-luna,4826,650,5476
14_Matmul_for_upper_triangular_matrices.py,openai,gpt-5.6-luna,1205,3288,4493
14_Matmul_for_upper_triangular_matrices.py,openai,gpt-5.6-luna,4990,2833,7823
14_Matmul_for_upper_triangular_matrices.py,openai,gpt-5.6-luna,5133,1915,7048
14_Matmul_for_upper_triangular_matrices.py,openai,gpt-5.6-luna,5162,2165,7327
