kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5,919,7710,8629
1_Square_matrix_multiplication_.py,openai,gpt-5,6265,4031,10296
1_Square_matrix_multiplication_.py,openai,gpt-5,4462,1296,5758
1_Square_matrix_multiplication_.py,openai,gpt-5,6227,5504,11731
1_Square_matrix_multiplication_.py,openai,gpt-5,5118,1754,6872
1_Square_matrix_multiplication_.py,openai,gpt-5,6282,7668,13950
1_Square_matrix_multiplication_.py,openai,gpt-5,4841,6764,11605
1_Square_matrix_multiplication_.py,openai,gpt-5,6424,4427,10851
1_Square_matrix_multiplication_.py,openai,gpt-5,5214,1689,6903
1_Square_matrix_multiplication_.py,openai,gpt-5,6351,5351,11702
1_Square_matrix_multiplication_.py,openai,gpt-5,6172,7145,13317
1_Square_matrix_multiplication_.py,openai,gpt-5,6227,5437,11664
1_Square_matrix_multiplication_.py,openai,gpt-5,5051,6966,12017
1_Square_matrix_multiplication_.py,openai,gpt-5,6279,5018,11297
1_Square_matrix_multiplication_.py,openai,gpt-5,4395,1537,5932
1_Square_matrix_multiplication_.py,openai,gpt-5,6279,5515,11794
1_Square_matrix_multiplication_.py,openai,gpt-5,4636,1711,6347
1_Square_matrix_multiplication_.py,openai,gpt-5,6280,6043,12323
1_Square_matrix_multiplication_.py,openai,gpt-5,4336,1903,6239
1_Square_matrix_multiplication_.py,openai,gpt-5,6287,6607,12894
1_Square_matrix_multiplication_.py,openai,gpt-5,4698,5671,10369
1_Square_matrix_multiplication_.py,openai,gpt-5,6227,5934,12161
1_Square_matrix_multiplication_.py,openai,gpt-5,4652,2507,7159
1_Square_matrix_multiplication_.py,openai,gpt-5,6293,7441,13734
1_Square_matrix_multiplication_.py,openai,gpt-5,5081,7364,12445
1_Square_matrix_multiplication_.py,openai,gpt-5,6352,2827,9179
1_Square_matrix_multiplication_.py,openai,gpt-5,4337,1218,5555
1_Square_matrix_multiplication_.py,openai,gpt-5,6081,4592,10673
