kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5,919,8206,9125
1_Square_matrix_multiplication_.py,openai,gpt-5,6552,7859,14411
1_Square_matrix_multiplication_.py,openai,gpt-5,5912,5694,11606
1_Square_matrix_multiplication_.py,openai,gpt-5,6539,5063,11602
1_Square_matrix_multiplication_.py,openai,gpt-5,5270,12081,17351
1_Square_matrix_multiplication_.py,openai,gpt-5,919,6717,7636
1_Square_matrix_multiplication_.py,openai,gpt-5,8974,4775,13749
1_Square_matrix_multiplication_.py,openai,gpt-5,7633,3169,10802
1_Square_matrix_multiplication_.py,openai,gpt-5,6626,1792,8418
1_Square_matrix_multiplication_.py,openai,gpt-5,4538,1690,6228
1_Square_matrix_multiplication_.py,openai,gpt-5,6615,2340,8955
1_Square_matrix_multiplication_.py,openai,gpt-5,4563,1024,5587
1_Square_matrix_multiplication_.py,openai,gpt-5,6699,3999,10698
1_Square_matrix_multiplication_.py,openai,gpt-5,5087,2509,7596
1_Square_matrix_multiplication_.py,openai,gpt-5,6722,3968,10690
1_Square_matrix_multiplication_.py,openai,gpt-5,4892,2145,7037
1_Square_matrix_multiplication_.py,openai,gpt-5,8974,4757,13731
1_Square_matrix_multiplication_.py,openai,gpt-5,7615,2108,9723
1_Square_matrix_multiplication_.py,openai,gpt-5,6706,2884,9590
1_Square_matrix_multiplication_.py,openai,gpt-5,4750,1296,6046
1_Square_matrix_multiplication_.py,openai,gpt-5,6565,9659,16224
1_Square_matrix_multiplication_.py,openai,gpt-5,6565,19242,25807
1_Square_matrix_multiplication_.py,openai,gpt-5,8831,10332,19163
1_Square_matrix_multiplication_.py,openai,gpt-5,12299,21237,33536
4_Matrix_vector_multiplication_.py,openai,gpt-5,925,6921,7846
4_Matrix_vector_multiplication_.py,openai,gpt-5,5517,3331,8848
4_Matrix_vector_multiplication_.py,openai,gpt-5,3341,2608,5949
4_Matrix_vector_multiplication_.py,openai,gpt-5,5272,5402,10674
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,967,6917,7884
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5271,8592,13863
102_ScaledDotProductAttention.py,openai,gpt-5,923,12106,13029
102_ScaledDotProductAttention.py,openai,gpt-5,8149,4895,13044
102_ScaledDotProductAttention.py,openai,gpt-5,6930,2872,9802
