kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,openai,gpt-5,1146,8235,9381
1_Square_matrix_multiplication_.py,openai,gpt-5,5481,8163,13644
1_Square_matrix_multiplication_.py,openai,gpt-5,1146,5019,6165
1_Square_matrix_multiplication_.py,openai,gpt-5,5216,5050,10266
1_Square_matrix_multiplication_.py,openai,gpt-5,5507,3039,8546
1_Square_matrix_multiplication_.py,openai,gpt-5,3635,1125,4760
1_Square_matrix_multiplication_.py,openai,gpt-5,5510,4233,9743
1_Square_matrix_multiplication_.py,openai,gpt-5,4128,2448,6576
1_Square_matrix_multiplication_.py,openai,gpt-5,5216,5759,10975
1_Square_matrix_multiplication_.py,openai,gpt-5,5360,6394,11754
1_Square_matrix_multiplication_.py,openai,gpt-5,5489,4654,10143
1_Square_matrix_multiplication_.py,openai,gpt-5,5809,6983,12792
1_Square_matrix_multiplication_.py,openai,gpt-5,5837,4757,10594
1_Square_matrix_multiplication_.py,openai,gpt-5,4921,3570,8491
1_Square_matrix_multiplication_.py,openai,gpt-5,5537,3409,8946
1_Square_matrix_multiplication_.py,openai,gpt-5,5537,2451,7988
1_Square_matrix_multiplication_.py,openai,gpt-5,5787,4572,10359
1_Square_matrix_multiplication_.py,openai,gpt-5,3771,2398,6169
1_Square_matrix_multiplication_.py,openai,gpt-5,5976,2311,8287
1_Square_matrix_multiplication_.py,openai,gpt-5,5914,1423,7337
1_Square_matrix_multiplication_.py,openai,gpt-5,5787,4275,10062
1_Square_matrix_multiplication_.py,openai,gpt-5,3666,1171,4837
1_Square_matrix_multiplication_.py,openai,gpt-5,5896,2063,7959
1_Square_matrix_multiplication_.py,openai,gpt-5,5928,3219,9147
1_Square_matrix_multiplication_.py,openai,gpt-5,5787,2945,8732
1_Square_matrix_multiplication_.py,openai,gpt-5,3616,1690,5306
4_Matrix_vector_multiplication_.py,openai,gpt-5,1152,6488,7640
4_Matrix_vector_multiplication_.py,openai,gpt-5,1152,10272,11424
4_Matrix_vector_multiplication_.py,openai,gpt-5,5559,3926,9485
4_Matrix_vector_multiplication_.py,openai,gpt-5,3520,934,4454
4_Matrix_vector_multiplication_.py,openai,gpt-5,5058,7499,12557
4_Matrix_vector_multiplication_.py,openai,gpt-5,5193,3658,8851
4_Matrix_vector_multiplication_.py,openai,gpt-5,5849,4722,10571
4_Matrix_vector_multiplication_.py,openai,gpt-5,3903,2955,6858
4_Matrix_vector_multiplication_.py,openai,gpt-5,5640,4661,10301
4_Matrix_vector_multiplication_.py,openai,gpt-5,3767,2066,5833
4_Matrix_vector_multiplication_.py,openai,gpt-5,5619,4331,9950
4_Matrix_vector_multiplication_.py,openai,gpt-5,3608,3837,7445
4_Matrix_vector_multiplication_.py,openai,gpt-5,5630,3402,9032
4_Matrix_vector_multiplication_.py,openai,gpt-5,3528,1878,5406
4_Matrix_vector_multiplication_.py,openai,gpt-5,5651,5240,10891
4_Matrix_vector_multiplication_.py,openai,gpt-5,3726,2090,5816
4_Matrix_vector_multiplication_.py,openai,gpt-5,5193,4782,9975
4_Matrix_vector_multiplication_.py,openai,gpt-5,5194,2721,7915
4_Matrix_vector_multiplication_.py,openai,gpt-5,5829,3642,9471
4_Matrix_vector_multiplication_.py,openai,gpt-5,3638,871,4509
4_Matrix_vector_multiplication_.py,openai,gpt-5,5619,3724,9343
4_Matrix_vector_multiplication_.py,openai,gpt-5,3510,1416,4926
4_Matrix_vector_multiplication_.py,openai,gpt-5,5206,4206,9412
4_Matrix_vector_multiplication_.py,openai,gpt-5,5619,5123,10742
4_Matrix_vector_multiplication_.py,openai,gpt-5,3629,2588,6217
4_Matrix_vector_multiplication_.py,openai,gpt-5,5207,2561,7768
4_Matrix_vector_multiplication_.py,openai,gpt-5,5607,5175,10782
4_Matrix_vector_multiplication_.py,openai,gpt-5,3797,3710,7507
4_Matrix_vector_multiplication_.py,openai,gpt-5,5228,4217,9445
4_Matrix_vector_multiplication_.py,openai,gpt-5,5994,2166,8160
4_Matrix_vector_multiplication_.py,openai,gpt-5,5980,7144,13124
4_Matrix_vector_multiplication_.py,openai,gpt-5,5755,4380,10135
4_Matrix_vector_multiplication_.py,openai,gpt-5,3509,916,4425
4_Matrix_vector_multiplication_.py,openai,gpt-5,6042,6560,12602
4_Matrix_vector_multiplication_.py,openai,gpt-5,5948,8038,13986
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,1194,7711,8905
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5513,4768,10281
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3767,1791,5558
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5567,4287,9854
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3725,4563,8288
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5188,2577,7765
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4958,3175,8133
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4958,4642,9600
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4900,2717,7617
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4900,3229,8129
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4900,4844,9744
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5419,2924,8343
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3296,1489,4785
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5450,2502,7952
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3167,931,4098
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,4900,3367,8267
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5280,1831,7111
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5283,1911,7194
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5281,1895,7176
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5280,5379,10659
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5402,3660,9062
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3621,2050,5671
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5387,3240,8627
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,3250,1939,5189
9_Tall_skinny_matrix_multiplication_.py,openai,gpt-5,5280,2791,8071
102_ScaledDotProductAttention.py,openai,gpt-5,1150,14801,15951
102_ScaledDotProductAttention.py,openai,gpt-5,6854,3065,9919
102_ScaledDotProductAttention.py,openai,gpt-5,4740,1241,5981
102_ScaledDotProductAttention.py,openai,gpt-5,6532,2535,9067
102_ScaledDotProductAttention.py,openai,gpt-5,6520,5038,11558
102_ScaledDotProductAttention.py,openai,gpt-5,6863,3899,10762
102_ScaledDotProductAttention.py,openai,gpt-5,5176,1978,7154
102_ScaledDotProductAttention.py,openai,gpt-5,6580,7990,14570
102_ScaledDotProductAttention.py,openai,gpt-5,6569,3473,10042
102_ScaledDotProductAttention.py,openai,gpt-5,4552,3461,8013
102_ScaledDotProductAttention.py,openai,gpt-5,6138,3718,9856
102_ScaledDotProductAttention.py,openai,gpt-5,6088,5078,11166
102_ScaledDotProductAttention.py,openai,gpt-5,6327,4614,10941
102_ScaledDotProductAttention.py,openai,gpt-5,4296,2743,7039
102_ScaledDotProductAttention.py,openai,gpt-5,6086,2585,8671
102_ScaledDotProductAttention.py,openai,gpt-5,6536,4087,10623
102_ScaledDotProductAttention.py,openai,gpt-5,6536,4279,10815
102_ScaledDotProductAttention.py,openai,gpt-5,6359,4150,10509
102_ScaledDotProductAttention.py,openai,gpt-5,4674,3140,7814
102_ScaledDotProductAttention.py,openai,gpt-5,6545,3497,10042
102_ScaledDotProductAttention.py,openai,gpt-5,6562,4295,10857
21_Sigmoid.py,openai,gpt-5,1121,4940,6061
21_Sigmoid.py,openai,gpt-5,4413,5120,9533
21_Sigmoid.py,openai,gpt-5,4059,2897,6956
21_Sigmoid.py,openai,gpt-5,4470,5574,10044
21_Sigmoid.py,openai,gpt-5,4554,6052,10606
21_Sigmoid.py,openai,gpt-5,4648,2337,6985
21_Sigmoid.py,openai,gpt-5,4610,4497,9107
21_Sigmoid.py,openai,gpt-5,4610,3228,7838
21_Sigmoid.py,openai,gpt-5,4582,4205,8787
21_Sigmoid.py,openai,gpt-5,4860,3542,8402
21_Sigmoid.py,openai,gpt-5,2660,1311,3971
21_Sigmoid.py,openai,gpt-5,4582,6034,10616
21_Sigmoid.py,openai,gpt-5,4912,2984,7896
21_Sigmoid.py,openai,gpt-5,2471,1410,3881
21_Sigmoid.py,openai,gpt-5,4928,7928,12856
21_Sigmoid.py,openai,gpt-5,4679,3459,8138
22_Tanh.py,openai,gpt-5,1121,5402,6523
22_Tanh.py,openai,gpt-5,4056,2172,6228
22_Tanh.py,openai,gpt-5,4746,3551,8297
22_Tanh.py,openai,gpt-5,2828,893,3721
22_Tanh.py,openai,gpt-5,4749,3067,7816
22_Tanh.py,openai,gpt-5,2283,1395,3678
22_Tanh.py,openai,gpt-5,4746,3791,8537
22_Tanh.py,openai,gpt-5,2428,747,3175
22_Tanh.py,openai,gpt-5,4749,4924,9673
22_Tanh.py,openai,gpt-5,2283,1077,3360
22_Tanh.py,openai,gpt-5,4752,3326,8078
22_Tanh.py,openai,gpt-5,2416,708,3124
22_Tanh.py,openai,gpt-5,4056,2044,6100
22_Tanh.py,openai,gpt-5,4746,2891,7637
22_Tanh.py,openai,gpt-5,2360,1430,3790
22_Tanh.py,openai,gpt-5,4749,2328,7077
22_Tanh.py,openai,gpt-5,2248,1205,3453
22_Tanh.py,openai,gpt-5,4756,2246,7002
22_Tanh.py,openai,gpt-5,2300,811,3111
22_Tanh.py,openai,gpt-5,4760,2927,7687
22_Tanh.py,openai,gpt-5,2153,961,3114
22_Tanh.py,openai,gpt-5,4756,3496,8252
22_Tanh.py,openai,gpt-5,2270,1544,3814
22_Tanh.py,openai,gpt-5,4056,2236,6292
22_Tanh.py,openai,gpt-5,4746,4245,8991
22_Tanh.py,openai,gpt-5,2626,2596,5222
22_Tanh.py,openai,gpt-5,4856,2632,7488
22_Tanh.py,openai,gpt-5,2551,1256,3807
22_Tanh.py,openai,gpt-5,4864,2753,7617
22_Tanh.py,openai,gpt-5,2424,950,3374
22_Tanh.py,openai,gpt-5,4878,2487,7365
22_Tanh.py,openai,gpt-5,2363,1384,3747
22_Tanh.py,openai,gpt-5,4868,2021,6889
22_Tanh.py,openai,gpt-5,2331,539,2870
88_MinGPTNewGelu.py,openai,gpt-5,1153,4975,6128
88_MinGPTNewGelu.py,openai,gpt-5,5192,2729,7921
88_MinGPTNewGelu.py,openai,gpt-5,2828,429,3257
88_MinGPTNewGelu.py,openai,gpt-5,5195,1693,6888
88_MinGPTNewGelu.py,openai,gpt-5,2691,1721,4412
88_MinGPTNewGelu.py,openai,gpt-5,5192,2351,7543
88_MinGPTNewGelu.py,openai,gpt-5,2834,1720,4554
88_MinGPTNewGelu.py,openai,gpt-5,5196,3024,8220
88_MinGPTNewGelu.py,openai,gpt-5,2871,598,3469
88_MinGPTNewGelu.py,openai,gpt-5,5195,2063,7258
88_MinGPTNewGelu.py,openai,gpt-5,2741,611,3352
88_MinGPTNewGelu.py,openai,gpt-5,5192,1897,7089
88_MinGPTNewGelu.py,openai,gpt-5,2892,1645,4537
88_MinGPTNewGelu.py,openai,gpt-5,5195,1323,6518
88_MinGPTNewGelu.py,openai,gpt-5,2641,741,3382
88_MinGPTNewGelu.py,openai,gpt-5,5192,3111,8303
88_MinGPTNewGelu.py,openai,gpt-5,2954,1727,4681
88_MinGPTNewGelu.py,openai,gpt-5,4639,1167,5806
88_MinGPTNewGelu.py,openai,gpt-5,5192,1791,6983
88_MinGPTNewGelu.py,openai,gpt-5,2722,764,3486
88_MinGPTNewGelu.py,openai,gpt-5,5196,2942,8138
88_MinGPTNewGelu.py,openai,gpt-5,2853,556,3409
88_MinGPTNewGelu.py,openai,gpt-5,5192,3180,8372
88_MinGPTNewGelu.py,openai,gpt-5,2895,1313,4208
88_MinGPTNewGelu.py,openai,gpt-5,4662,1551,6213
88_MinGPTNewGelu.py,openai,gpt-5,5192,2655,7847
88_MinGPTNewGelu.py,openai,gpt-5,2818,1586,4404
88_MinGPTNewGelu.py,openai,gpt-5,5196,1832,7028
88_MinGPTNewGelu.py,openai,gpt-5,2831,1576,4407
88_MinGPTNewGelu.py,openai,gpt-5,5192,3071,8263
88_MinGPTNewGelu.py,openai,gpt-5,2978,1536,4514
88_MinGPTNewGelu.py,openai,gpt-5,5008,2116,7124
88_MinGPTNewGelu.py,openai,gpt-5,5232,1998,7230
88_MinGPTNewGelu.py,openai,gpt-5,2957,591,3548
88_MinGPTNewGelu.py,openai,gpt-5,5235,1541,6776
88_MinGPTNewGelu.py,openai,gpt-5,2695,577,3272
88_MinGPTNewGelu.py,openai,gpt-5,5232,2305,7537
88_MinGPTNewGelu.py,openai,gpt-5,2880,757,3637
88_MinGPTNewGelu.py,openai,gpt-5,5236,2469,7705
88_MinGPTNewGelu.py,openai,gpt-5,2856,894,3750
88_MinGPTNewGelu.py,openai,gpt-5,5235,1486,6721
88_MinGPTNewGelu.py,openai,gpt-5,2704,587,3291
88_MinGPTNewGelu.py,openai,gpt-5,5008,2829,7837
88_MinGPTNewGelu.py,openai,gpt-5,5051,1487,6538
88_MinGPTNewGelu.py,openai,gpt-5,5192,2011,7203
88_MinGPTNewGelu.py,openai,gpt-5,2878,1304,4182
88_MinGPTNewGelu.py,openai,gpt-5,5196,1806,7002
88_MinGPTNewGelu.py,openai,gpt-5,2805,1523,4328
88_MinGPTNewGelu.py,openai,gpt-5,5192,2441,7633
88_MinGPTNewGelu.py,openai,gpt-5,3052,888,3940
88_MinGPTNewGelu.py,openai,gpt-5,5196,2567,7763
88_MinGPTNewGelu.py,openai,gpt-5,2798,828,3626
88_MinGPTNewGelu.py,openai,gpt-5,5192,2648,7840
88_MinGPTNewGelu.py,openai,gpt-5,2875,1869,4744
88_MinGPTNewGelu.py,openai,gpt-5,5051,2767,7818
88_MinGPTNewGelu.py,openai,gpt-5,5192,2501,7693
88_MinGPTNewGelu.py,openai,gpt-5,2856,1965,4821
88_MinGPTNewGelu.py,openai,gpt-5,5196,2102,7298
88_MinGPTNewGelu.py,openai,gpt-5,2845,757,3602
88_MinGPTNewGelu.py,openai,gpt-5,5195,2575,7770
88_MinGPTNewGelu.py,openai,gpt-5,2740,493,3233
88_MinGPTNewGelu.py,openai,gpt-5,5192,2436,7628
88_MinGPTNewGelu.py,openai,gpt-5,2919,1094,4013
88_MinGPTNewGelu.py,openai,gpt-5,5196,1875,7071
88_MinGPTNewGelu.py,openai,gpt-5,2810,819,3629
88_MinGPTNewGelu.py,openai,gpt-5,5051,2608,7659
88_MinGPTNewGelu.py,openai,gpt-5,5051,4648,9699
88_MinGPTNewGelu.py,openai,gpt-5,4988,2319,7307
88_MinGPTNewGelu.py,openai,gpt-5,5196,2024,7220
88_MinGPTNewGelu.py,openai,gpt-5,2664,897,3561
88_MinGPTNewGelu.py,openai,gpt-5,5200,2283,7483
88_MinGPTNewGelu.py,openai,gpt-5,2735,712,3447
88_MinGPTNewGelu.py,openai,gpt-5,5196,2670,7866
88_MinGPTNewGelu.py,openai,gpt-5,2990,1214,4204
88_MinGPTNewGelu.py,openai,gpt-5,5200,2015,7215
88_MinGPTNewGelu.py,openai,gpt-5,2787,502,3289
88_MinGPTNewGelu.py,openai,gpt-5,5196,3376,8572
88_MinGPTNewGelu.py,openai,gpt-5,2928,1283,4211
88_MinGPTNewGelu.py,openai,gpt-5,4988,1359,6347
88_MinGPTNewGelu.py,openai,gpt-5,5196,2090,7286
88_MinGPTNewGelu.py,openai,gpt-5,2730,940,3670
88_MinGPTNewGelu.py,openai,gpt-5,5199,2330,7529
88_MinGPTNewGelu.py,openai,gpt-5,2717,629,3346
88_MinGPTNewGelu.py,openai,gpt-5,5196,2928,8124
88_MinGPTNewGelu.py,openai,gpt-5,2736,619,3355
88_MinGPTNewGelu.py,openai,gpt-5,5199,1963,7162
88_MinGPTNewGelu.py,openai,gpt-5,2734,839,3573
88_MinGPTNewGelu.py,openai,gpt-5,5196,2138,7334
88_MinGPTNewGelu.py,openai,gpt-5,2778,549,3327
88_MinGPTNewGelu.py,openai,gpt-5,4988,3174,8162
88_MinGPTNewGelu.py,openai,gpt-5,5196,1918,7114
88_MinGPTNewGelu.py,openai,gpt-5,2750,972,3722
88_MinGPTNewGelu.py,openai,gpt-5,4988,1359,6347
88_MinGPTNewGelu.py,openai,gpt-5,5196,2404,7600
88_MinGPTNewGelu.py,openai,gpt-5,2789,1988,4777
88_MinGPTNewGelu.py,openai,gpt-5,5137,4070,9207
