kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1079,4792,5871
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7406,3578,10984
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7381,3527,10908
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7399,4219,11618
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7528,2381,9909
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7906,11376,19282
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8273,14207,22480
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9006,1440,10446
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9020,19328,28348
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9395,6730,16125
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12345,14091,26436
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10477,5303,15780
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9775,2977,12752
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1075,1785,2860
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6935,3188,10123
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7437,8207,15644
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10492,1310,11802
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6790,69,6859
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7714,7225,14939
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8040,1523,9563
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8040,3020,11060
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8041,2139,10180
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8941,2222,11163
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8946,10894,19840
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9637,11670,21307
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9731,11748,21479
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1123,2335,3458
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,6843,6227,13070
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7882,2392,10274
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7904,7073,14977
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8678,4502,13180
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8771,6110,14881
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8906,8443,17349
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9681,6330,16011
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9672,4498,14170
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9594,6666,16260
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9692,3253,12945
