kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10067,21242,31309
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8345,10162,18507
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9143,32000,41143
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10063,4826,14889
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7657,7665,15322
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7866,4581,12447
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10979,1909,12888
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7405,675,8080
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8413,1670,10083
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8413,7745,16158
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8789,3173,11962
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8789,10617,19406
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9309,14733,24042
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9838,4110,13948
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9971,7028,16999
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10236,10918,21154
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10111,15438,25549
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8657,2774,11431
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8776,5747,14523
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8797,19476,28273
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9657,9612,19269
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9808,8245,18053
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9808,16503,26311
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10030,15979,26009
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10926,9562,20488
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10925,18826,29751
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11014,20277,31291
21_Sigmoid.py,anthropic,claude-sonnet-5,10036,3212,13248
21_Sigmoid.py,anthropic,claude-sonnet-5,7170,323,7493
21_Sigmoid.py,anthropic,claude-sonnet-5,7175,731,7906
21_Sigmoid.py,anthropic,claude-sonnet-5,7186,1774,8960
21_Sigmoid.py,anthropic,claude-sonnet-5,7077,1219,8296
21_Sigmoid.py,anthropic,claude-sonnet-5,7085,762,7847
21_Sigmoid.py,anthropic,claude-sonnet-5,7085,2023,9108
21_Sigmoid.py,anthropic,claude-sonnet-5,7110,3463,10573
21_Sigmoid.py,anthropic,claude-sonnet-5,8060,1541,9601
21_Sigmoid.py,anthropic,claude-sonnet-5,10964,536,11500
21_Sigmoid.py,anthropic,claude-sonnet-5,6687,133,6820
21_Sigmoid.py,anthropic,claude-sonnet-5,8341,629,8970
21_Sigmoid.py,anthropic,claude-sonnet-5,8383,1317,9700
22_Tanh.py,anthropic,claude-sonnet-5,10028,3122,13150
22_Tanh.py,anthropic,claude-sonnet-5,7565,765,8330
22_Tanh.py,anthropic,claude-sonnet-5,7565,347,7912
22_Tanh.py,anthropic,claude-sonnet-5,7575,4163,11738
22_Tanh.py,anthropic,claude-sonnet-5,7835,2662,10497
22_Tanh.py,anthropic,claude-sonnet-5,8092,3040,11132
22_Tanh.py,anthropic,claude-sonnet-5,11536,2053,13589
22_Tanh.py,anthropic,claude-sonnet-5,8640,208,8848
22_Tanh.py,anthropic,claude-sonnet-5,8321,1598,9919
22_Tanh.py,anthropic,claude-sonnet-5,12040,1727,13767
22_Tanh.py,anthropic,claude-sonnet-5,8827,310,9137
22_Tanh.py,anthropic,claude-sonnet-5,8621,4281,12902
22_Tanh.py,anthropic,claude-sonnet-5,8043,1890,9933
22_Tanh.py,anthropic,claude-sonnet-5,11066,2661,13727
22_Tanh.py,anthropic,claude-sonnet-5,8551,645,9196
22_Tanh.py,anthropic,claude-sonnet-5,8203,3280,11483
