kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10067,15187,25254
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8721,4975,13696
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9318,8226,17544
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9348,3815,13163
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9798,13073,22871
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10881,19403,30284
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11189,17578,28767
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12326,23166,35492
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12246,9266,21512
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12286,9571,21857
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14545,3676,18221
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12245,6280,18525
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12327,15365,27692
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10063,5367,15430
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7836,10618,18454
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8279,2369,10648
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8279,11820,20099
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8507,5619,14126
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8849,5360,14209
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9353,5516,14869
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10500,12681,23181
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10614,6497,17111
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10639,11328,21967
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10882,11204,22086
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10111,10795,20906
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10100,14115,24215
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9826,3643,13469
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7399,1258,8657
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,8947,2061,11008
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9202,1932,11134
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10054,3725,13779
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7922,690,8612
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9202,1453,10655
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10054,2710,12764
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7308,657,7965
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9202,5328,14530
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9827,2290,12117
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10584,4856,15440
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7513,1283,8796
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9834,4641,14475
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,11291,15597,26888
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,11121,2243,13364
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,11121,23145,34266
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,11123,2353,13476
21_Sigmoid.py,anthropic,claude-sonnet-5,10036,4506,14542
21_Sigmoid.py,anthropic,claude-sonnet-5,7353,511,7864
21_Sigmoid.py,anthropic,claude-sonnet-5,7358,3089,10447
21_Sigmoid.py,anthropic,claude-sonnet-5,10318,1537,11855
21_Sigmoid.py,anthropic,claude-sonnet-5,6535,182,6717
21_Sigmoid.py,anthropic,claude-sonnet-5,7982,4394,12376
21_Sigmoid.py,anthropic,claude-sonnet-5,9022,1849,10871
21_Sigmoid.py,anthropic,claude-sonnet-5,8168,1044,9212
21_Sigmoid.py,anthropic,claude-sonnet-5,8165,1473,9638
21_Sigmoid.py,anthropic,claude-sonnet-5,8185,3052,11237
21_Sigmoid.py,anthropic,claude-sonnet-5,8855,548,9403
21_Sigmoid.py,anthropic,claude-sonnet-5,8854,891,9745
21_Sigmoid.py,anthropic,claude-sonnet-5,8855,2915,11770
21_Sigmoid.py,anthropic,claude-sonnet-5,11903,2541,14444
21_Sigmoid.py,anthropic,claude-sonnet-5,8933,457,9390
21_Sigmoid.py,anthropic,claude-sonnet-5,9597,1310,10907
21_Sigmoid.py,anthropic,claude-sonnet-5,5931,83,6014
22_Tanh.py,anthropic,claude-sonnet-5,10028,5718,15746
22_Tanh.py,anthropic,claude-sonnet-5,7254,1343,8597
22_Tanh.py,anthropic,claude-sonnet-5,7254,444,7698
22_Tanh.py,anthropic,claude-sonnet-5,7262,1048,8310
22_Tanh.py,anthropic,claude-sonnet-5,8001,588,8589
22_Tanh.py,anthropic,claude-sonnet-5,8001,945,8946
22_Tanh.py,anthropic,claude-sonnet-5,8001,1152,9153
22_Tanh.py,anthropic,claude-sonnet-5,7821,4280,12101
22_Tanh.py,anthropic,claude-sonnet-5,8275,1514,9789
22_Tanh.py,anthropic,claude-sonnet-5,7767,3214,10981
22_Tanh.py,anthropic,claude-sonnet-5,8305,2289,10594
22_Tanh.py,anthropic,claude-sonnet-5,8100,1676,9776
22_Tanh.py,anthropic,claude-sonnet-5,9924,1684,11608
22_Tanh.py,anthropic,claude-sonnet-5,6549,67,6616
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,10062,5373,15435
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,7792,897,8689
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,7901,1613,9514
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8264,955,9219
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8264,3138,11402
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8264,655,8919
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8264,4484,12748
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8172,1652,9824
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,7992,1936,9928
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,7991,1537,9528
88_MinGPTNewGelu.py,anthropic,claude-sonnet-5,8005,5009,13014
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10494,17386,27880
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11910,6099,18009
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12414,4788,17202
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13009,2446,15455
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13009,3991,17000
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13009,4589,17598
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13009,4022,17031
54_conv_standard_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13875,1484,15359
