kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1079,3970,5049
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7633,3947,11580
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7739,3664,11403
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7967,4846,12813
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8397,922,9319
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8504,12962,21466
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8539,11846,20385
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8712,12903,21615
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8715,16089,24804
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,13444,15119,28563
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,13557,8263,21820
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9223,22556,31779
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9237,10953,20190
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1075,2094,3169
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6819,7325,14144
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7516,6693,14209
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7946,2063,10009
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7946,2168,10114
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7946,5402,13348
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8284,3562,11846
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8284,2324,10608
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8284,2535,10819
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8284,1992,10276
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8284,11948,20232
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1123,2478,3601
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7011,4873,11884
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7491,4823,12314
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8012,8263,16275
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8645,2988,11633
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8683,8277,16960
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8819,3369,12188
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9281,2176,11457
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9526,5617,15143
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9570,14603,24173
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12525,5716,18241
21_Sigmoid.py,anthropic,claude-sonnet-5,1048,1340,2388
21_Sigmoid.py,anthropic,claude-sonnet-5,6782,3221,10003
21_Sigmoid.py,anthropic,claude-sonnet-5,6677,3682,10359
21_Sigmoid.py,anthropic,claude-sonnet-5,6858,4194,11052
21_Sigmoid.py,anthropic,claude-sonnet-5,10338,3535,13873
21_Sigmoid.py,anthropic,claude-sonnet-5,7607,1222,8829
21_Sigmoid.py,anthropic,claude-sonnet-5,6787,1185,7972
21_Sigmoid.py,anthropic,claude-sonnet-5,6877,1752,8629
21_Sigmoid.py,anthropic,claude-sonnet-5,6877,1001,7878
21_Sigmoid.py,anthropic,claude-sonnet-5,6902,1552,8454
21_Sigmoid.py,anthropic,claude-sonnet-5,10555,1925,12480
21_Sigmoid.py,anthropic,claude-sonnet-5,7407,182,7589
21_Sigmoid.py,anthropic,claude-sonnet-5,6961,3067,10028
21_Sigmoid.py,anthropic,claude-sonnet-5,6961,798,7759
21_Sigmoid.py,anthropic,claude-sonnet-5,6961,672,7633
22_Tanh.py,anthropic,claude-sonnet-5,1040,1261,2301
22_Tanh.py,anthropic,claude-sonnet-5,6700,1331,8031
22_Tanh.py,anthropic,claude-sonnet-5,9852,1768,11620
22_Tanh.py,anthropic,claude-sonnet-5,6384,134,6518
22_Tanh.py,anthropic,claude-sonnet-5,6738,662,7400
22_Tanh.py,anthropic,claude-sonnet-5,6769,1811,8580
22_Tanh.py,anthropic,claude-sonnet-5,6748,1370,8118
22_Tanh.py,anthropic,claude-sonnet-5,6748,1426,8174
22_Tanh.py,anthropic,claude-sonnet-5,6748,1562,8310
22_Tanh.py,anthropic,claude-sonnet-5,7914,3062,10976
