kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1071,2744,3815
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8122,7980,16102
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8764,7613,16377
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9564,8221,17785
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9993,6275,16268
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10195,12273,22468
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10346,16174,26520
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10377,6731,17108
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10506,3981,14487
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10506,11483,21989
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10385,1935,12320
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,1180,3359,4539
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8085,10339,18424
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9046,2081,11127
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,5908,1259,7167
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9115,3684,12799
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9520,1385,10905
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9726,4272,13998
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9760,1793,11553
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9620,3608,13228
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9853,20911,30764
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11178,3652,14830
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11192,19938,31130
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11327,16184,27511
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,978,1866,2844
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,7735,5524,13259
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8399,2104,10503
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8400,8130,16530
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8803,10602,19405
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8803,1654,10457
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8803,3572,12375
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8811,651,9462
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8811,3782,12593
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8745,1520,10265
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8738,3384,12122
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,1533,5061,6594
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9554,5213,14767
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9971,6707,16678
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10329,1967,12296
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10329,7335,17664
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10545,1044,11589
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10612,9775,20387
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11578,961,12539
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11554,6684,18238
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11568,4012,15580
