kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1079,4261,5340
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7792,4042,11834
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8686,6540,15226
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8926,13727,22653
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9921,12228,22149
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10204,12071,22275
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10655,21803,32458
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11016,2993,14009
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10840,17082,27922
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10749,21975,32724
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11278,6405,17683
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1075,2211,3286
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6892,6935,13827
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7083,9934,17017
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7203,3324,10527
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7268,7927,15195
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8114,7052,15166
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8342,4052,12394
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8447,6985,15432
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8678,4865,13543
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8678,11950,20628
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8890,10138,19028
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1123,2500,3623
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,6838,3021,9859
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7187,10190,17377
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8342,3569,11911
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8523,3175,11698
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8699,16652,25351
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,13284,1462,14746
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10143,76,10219
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10793,6825,17618
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11160,3627,14787
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11160,12019,23179
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11971,2878,14849
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9158,515,9673
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11206,5248,16454
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,16609,12073,28682
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,18945,6028,24973
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11437,5671,17108
21_Sigmoid.py,anthropic,claude-sonnet-5,1048,1390,2438
21_Sigmoid.py,anthropic,claude-sonnet-5,6817,1373,8190
21_Sigmoid.py,anthropic,claude-sonnet-5,6816,2032,8848
21_Sigmoid.py,anthropic,claude-sonnet-5,6632,1924,8556
21_Sigmoid.py,anthropic,claude-sonnet-5,7824,3956,11780
21_Sigmoid.py,anthropic,claude-sonnet-5,5183,4417,9600
21_Sigmoid.py,anthropic,claude-sonnet-5,6645,827,7472
21_Sigmoid.py,anthropic,claude-sonnet-5,6653,1677,8330
21_Sigmoid.py,anthropic,claude-sonnet-5,6666,2767,9433
21_Sigmoid.py,anthropic,claude-sonnet-5,9852,1507,11359
21_Sigmoid.py,anthropic,claude-sonnet-5,6161,71,6232
21_Sigmoid.py,anthropic,claude-sonnet-5,6887,1936,8823
21_Sigmoid.py,anthropic,claude-sonnet-5,6887,225,7112
21_Sigmoid.py,anthropic,claude-sonnet-5,6887,1377,8264
21_Sigmoid.py,anthropic,claude-sonnet-5,6858,993,7851
22_Tanh.py,anthropic,claude-sonnet-5,1040,1232,2272
22_Tanh.py,anthropic,claude-sonnet-5,6615,751,7366
22_Tanh.py,anthropic,claude-sonnet-5,6712,571,7283
22_Tanh.py,anthropic,claude-sonnet-5,6712,2576,9288
22_Tanh.py,anthropic,claude-sonnet-5,6730,883,7613
22_Tanh.py,anthropic,claude-sonnet-5,6734,513,7247
