kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1071,4966,6037
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7077,3662,10739
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8475,1692,10167
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,4849,324,5173
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7278,3718,10996
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10934,1698,12632
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7568,392,7960
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7950,8351,16301
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8368,3829,12197
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8368,9747,18115
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8813,7805,16618
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9932,10830,20762
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10099,1741,11840
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,6564,78,6642
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10170,19193,29363
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10608,3769,14377
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10777,11242,22019
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,1180,2950,4130
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7185,6181,13366
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8776,8613,17389
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9766,2977,12743
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9873,7913,17786
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9931,8561,18492
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11133,1171,12304
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7668,137,7805
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10339,10286,20625
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11705,6787,18492
