kernel,server_type,model,input_tokens,output_tokens,total_tokens
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10111,12125,22236
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10083,10563,20646
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11645,3165,14810
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9216,597,9813
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8622,2912,11534
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8622,13787,22409
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15273,7378,22651
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12759,12009,24768
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9160,13686,22846
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10758,4940,15698
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10947,10440,21387
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12973,5671,18644
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15731,5979,21710
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,14145,3142,17287
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,13582,12187,25769
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,14713,4878,19591
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15073,2419,17492
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15075,6243,21318
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10140,19128,29268
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9156,9420,18576
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12714,1988,14702
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9427,851,10278
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9955,12907,22862
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10068,26519,36587
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10496,32000,42496
