kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10031,10557,20588
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11583,3297,14880
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8478,397,8875
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9499,8736,18235
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10197,5921,16118
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10385,35133,45518
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,16749,11476,28225
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,14916,6553,21469
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11846,24299,36145
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12129,40002,52131
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12506,13380,25886
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,14798,7686,22484
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13214,6077,19291
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12610,6797,19407
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12290,10681,22971
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12298,7454,19752
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12348,11676,24024
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10140,17387,27527
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10154,10221,20375
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9995,2016,12011
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9963,3590,13553
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10354,3736,14090
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12145,1440,13585
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8723,92,8815
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10593,28195,38788
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11319,17820,29139
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11525,9417,20942
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12035,9151,21186
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,14837,3623,18460
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12143,879,13022
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,15964,4587,20551
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,13815,1320,15135
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,17246,18451,35697
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,15565,6737,22302
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12729,8777,21506
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12779,17239,30018
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9938,10211,20149
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11072,1653,12725
