kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10039,7841,17880
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11586,2622,14208
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8679,208,8887
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8541,3709,12250
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8541,14581,23122
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,13327,6781,20108
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10937,1895,12832
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,15702,8982,24684
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,13370,3946,17316
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8541,4349,12890
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8732,15319,24051
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12113,4238,16351
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9796,3586,13382
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9861,7283,17144
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9882,15643,25525
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14252,2552,16804
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11174,2222,13396
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,16632,8013,24645
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14787,10140,24927
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9882,32000,41882
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10035,4002,14037
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8892,20216,29108
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6079,1581,7660
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7904,10608,18512
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9439,2789,12228
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,5894,80,5974
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8414,11660,20074
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8941,3894,12835
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8955,1818,10773
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8954,10525,19479
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9613,11904,21517
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9662,4424,14086
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9809,5130,14939
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10384,10471,20855
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10892,7511,18403
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10083,12268,22351
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11658,3458,15116
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8958,424,9382
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8511,3774,12285
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8510,4203,12713
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8510,15158,23668
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8511,8358,16869
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8511,16757,25268
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8697,21066,29763
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8930,32000,40930
21_Sigmoid.py,anthropic,claude-sonnet-5,10008,4928,14936
21_Sigmoid.py,anthropic,claude-sonnet-5,10965,1532,12497
21_Sigmoid.py,anthropic,claude-sonnet-5,7553,211,7764
21_Sigmoid.py,anthropic,claude-sonnet-5,11246,1828,13074
21_Sigmoid.py,anthropic,claude-sonnet-5,8070,381,8451
21_Sigmoid.py,anthropic,claude-sonnet-5,7860,768,8628
21_Sigmoid.py,anthropic,claude-sonnet-5,7865,1376,9241
21_Sigmoid.py,anthropic,claude-sonnet-5,7597,6411,14008
21_Sigmoid.py,anthropic,claude-sonnet-5,7805,2016,9821
21_Sigmoid.py,anthropic,claude-sonnet-5,7872,2435,10307
21_Sigmoid.py,anthropic,claude-sonnet-5,8083,1037,9120
21_Sigmoid.py,anthropic,claude-sonnet-5,8083,249,8332
21_Sigmoid.py,anthropic,claude-sonnet-5,8083,2359,10442
21_Sigmoid.py,anthropic,claude-sonnet-5,11855,1505,13360
21_Sigmoid.py,anthropic,claude-sonnet-5,8465,454,8919
21_Sigmoid.py,anthropic,claude-sonnet-5,8354,2308,10662
21_Sigmoid.py,anthropic,claude-sonnet-5,13400,3087,16487
21_Sigmoid.py,anthropic,claude-sonnet-5,10439,913,11352
21_Sigmoid.py,anthropic,claude-sonnet-5,13066,2693,15759
21_Sigmoid.py,anthropic,claude-sonnet-5,9515,63,9578
21_Sigmoid.py,anthropic,claude-sonnet-5,8473,616,9089
22_Tanh.py,anthropic,claude-sonnet-5,10000,2452,12452
22_Tanh.py,anthropic,claude-sonnet-5,7113,417,7530
22_Tanh.py,anthropic,claude-sonnet-5,7122,843,7965
22_Tanh.py,anthropic,claude-sonnet-5,7122,1785,8907
22_Tanh.py,anthropic,claude-sonnet-5,7012,1147,8159
22_Tanh.py,anthropic,claude-sonnet-5,7026,575,7601
22_Tanh.py,anthropic,claude-sonnet-5,7040,2120,9160
22_Tanh.py,anthropic,claude-sonnet-5,7029,826,7855
22_Tanh.py,anthropic,claude-sonnet-5,7030,2006,9036
22_Tanh.py,anthropic,claude-sonnet-5,7043,935,7978
22_Tanh.py,anthropic,claude-sonnet-5,7061,1378,8439
33_BatchNorm.py,anthropic,claude-sonnet-5,10090,7324,17414
33_BatchNorm.py,anthropic,claude-sonnet-5,8901,7605,16506
33_BatchNorm.py,anthropic,claude-sonnet-5,9579,2493,12072
33_BatchNorm.py,anthropic,claude-sonnet-5,9801,621,10422
33_BatchNorm.py,anthropic,claude-sonnet-5,9802,16527,26329
33_BatchNorm.py,anthropic,claude-sonnet-5,11054,717,11771
33_BatchNorm.py,anthropic,claude-sonnet-5,11054,1838,12892
33_BatchNorm.py,anthropic,claude-sonnet-5,11053,3797,14850
33_BatchNorm.py,anthropic,claude-sonnet-5,11053,13983,25036
33_BatchNorm.py,anthropic,claude-sonnet-5,11499,7671,19170
33_BatchNorm.py,anthropic,claude-sonnet-5,12238,3362,15600
40_LayerNorm.py,anthropic,claude-sonnet-5,10116,4705,14821
40_LayerNorm.py,anthropic,claude-sonnet-5,8426,2884,11310
40_LayerNorm.py,anthropic,claude-sonnet-5,8952,1839,10791
40_LayerNorm.py,anthropic,claude-sonnet-5,9366,11700,21066
40_LayerNorm.py,anthropic,claude-sonnet-5,11106,2178,13284
40_LayerNorm.py,anthropic,claude-sonnet-5,11158,1871,13029
40_LayerNorm.py,anthropic,claude-sonnet-5,11158,13331,24489
40_LayerNorm.py,anthropic,claude-sonnet-5,11518,2415,13933
40_LayerNorm.py,anthropic,claude-sonnet-5,11574,20503,32077
40_LayerNorm.py,anthropic,claude-sonnet-5,12933,2491,15424
40_LayerNorm.py,anthropic,claude-sonnet-5,10778,1295,12073
40_LayerNorm.py,anthropic,claude-sonnet-5,12304,6854,19158
40_LayerNorm.py,anthropic,claude-sonnet-5,12194,4768,16962
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,10082,3701,13783
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,7314,17936,25250
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,7244,13471,20715
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,7492,3172,10664
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,8108,12446,20554
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,10515,2569,13084
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,7646,2370,10016
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,14382,2043,16425
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,11589,337,11926
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,14382,2205,16587
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,11808,1063,12871
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,14382,2211,16593
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,11723,144,11867
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,9600,3874,13474
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,14629,2118,16747
49_Max_reduction_over_a_dimension.py,anthropic,claude-sonnet-5,11910,221,12131
