kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,2899,5105,8004
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8136,5894,14030
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,13071,3273,16344
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10547,3347,13894
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8847,14775,23622
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9295,9726,19021
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9535,9336,18871
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9400,20033,29433
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9565,13373,22938
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9972,5247,15219
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10257,12981,23238
