kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10039,19628,29667
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9174,5451,14625
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9607,5648,15255
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9914,21382,31296
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9826,7450,17276
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9977,3042,13019
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9971,1635,11606
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10000,5043,15043
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10046,18820,28866
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10556,13366,23922
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11332,9067,20399
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10035,6820,16855
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9365,9182,18547
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9443,7342,16785
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9958,8168,18126
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9714,4869,14583
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9717,5276,14993
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10202,9153,19355
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10504,2184,12688
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,12378,1611,13989
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9299,259,9558
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10716,3636,14352
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10717,9161,19878
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10935,12879,23814
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10031,14308,24339
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9444,9168,18612
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10093,9827,19920
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12540,3669,16209
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10329,2924,13253
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11210,13634,24844
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,14959,11506,26465
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12914,21646,34560
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11873,4472,16345
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12112,7419,19531
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12392,9976,22368
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,17549,23040,40589
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,15489,843,16332
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,17810,24990,42800
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,15961,2826,18787
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,18119,9572,27691
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,15858,1061,16919
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,18164,32000,50164
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13644,32000,45644
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,18164,32000,50164
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,15758,14310,30068
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12392,9446,21838
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12228,12133,24361
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9841,4790,14631
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12393,32000,44393
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10083,15334,25417
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11740,3372,15112
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8821,462,9283
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9320,8097,17417
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9321,10835,20156
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9625,20205,29830
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9528,12890,22418
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9636,23274,32910
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10154,11679,21833
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10617,15037,25654
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10750,9236,19986
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10742,7837,18579
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10750,9063,19813
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15072,14718,29790
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,15729,7414,23143
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10140,14211,24351
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9698,2076,11774
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9694,9784,19478
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9868,2174,12042
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10086,11128,21214
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10937,15045,25982
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10827,24584,35411
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10925,18091,29016
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11225,12786,24011
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11401,2831,14232
