kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10059,16550,26609
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8777,14747,23524
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8777,4394,13171
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9750,6639,16389
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7225,431,7656
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8777,8713,17490
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9431,9334,18765
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9485,28233,37718
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9700,11369,21069
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9985,13271,23256
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11356,19866,31222
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11606,32000,43606
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7006,32000,39006
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11606,13601,25207
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9142,647,9789
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11607,29959,41566
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9881,5011,14892
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13820,4392,18212
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11556,1299,12855
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11987,32000,43987
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7402,32000,39402
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11356,22842,34198
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11784,30919,42703
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9909,1631,11540
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12059,22753,34812
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,14923,1824,16747
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12267,125,12392
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12830,8566,21396
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11079,798,11877
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13122,5029,18151
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13468,6694,20162
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10168,10243,20411
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9966,12765,22731
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9605,7941,17546
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9921,8883,18804
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11136,5023,16159
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9270,18495,27765
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11486,16394,27880
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12348,6444,18792
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12348,11817,24165
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12424,3477,15901
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13043,7795,20838
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13428,9596,23024
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13644,4452,18096
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13560,4274,17834
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10521,14041,24562
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12419,32000,44419
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,10610,14401,25011
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12097,11522,23619
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12595,21830,34425
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12393,8245,20638
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12854,11916,24770
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12854,10427,23281
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,13234,6116,19350
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,11471,25278,36749
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,13601,11701,25302
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,14517,973,15490
