kernel,server_type,model,input_tokens,output_tokens,total_tokens
21_Sigmoid.py,anthropic,claude-sonnet-5,10008,2551,12559
21_Sigmoid.py,anthropic,claude-sonnet-5,12538,2480,15018
21_Sigmoid.py,anthropic,claude-sonnet-5,7409,2901,10310
21_Sigmoid.py,anthropic,claude-sonnet-5,9308,2478,11786
21_Sigmoid.py,anthropic,claude-sonnet-5,5901,296,6197
21_Sigmoid.py,anthropic,claude-sonnet-5,9308,1896,11204
21_Sigmoid.py,anthropic,claude-sonnet-5,5860,74,5934
21_Sigmoid.py,anthropic,claude-sonnet-5,9308,1814,11122
21_Sigmoid.py,anthropic,claude-sonnet-5,6039,174,6213
21_Sigmoid.py,anthropic,claude-sonnet-5,9316,1895,11211
21_Sigmoid.py,anthropic,claude-sonnet-5,6154,245,6399
21_Sigmoid.py,anthropic,claude-sonnet-5,9308,1896,11204
21_Sigmoid.py,anthropic,claude-sonnet-5,6145,762,6907
21_Sigmoid.py,anthropic,claude-sonnet-5,7409,3418,10827
21_Sigmoid.py,anthropic,claude-sonnet-5,9375,1780,11155
21_Sigmoid.py,anthropic,claude-sonnet-5,5955,459,6414
21_Sigmoid.py,anthropic,claude-sonnet-5,9363,2217,11580
21_Sigmoid.py,anthropic,claude-sonnet-5,5781,125,5906
21_Sigmoid.py,anthropic,claude-sonnet-5,8865,1530,10395
21_Sigmoid.py,anthropic,claude-sonnet-5,8865,5152,14017
21_Sigmoid.py,anthropic,claude-sonnet-5,8845,8866,17711
21_Sigmoid.py,anthropic,claude-sonnet-5,9712,1599,11311
21_Sigmoid.py,anthropic,claude-sonnet-5,9721,11575,21296
21_Sigmoid.py,anthropic,claude-sonnet-5,10925,4345,15270
21_Sigmoid.py,anthropic,claude-sonnet-5,10925,9134,20059
21_Sigmoid.py,anthropic,claude-sonnet-5,10925,3366,14291
21_Sigmoid.py,anthropic,claude-sonnet-5,10925,2816,13741
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10039,15702,25741
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11694,2403,14097
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8596,411,9007
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14386,2987,17373
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11385,181,11566
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,83891,9879,93770
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7940,22515,30455
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14362,2064,16426
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12206,559,12765
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14363,1577,15940
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11829,338,12167
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14336,1537,15873
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11698,163,11861
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14316,4762,19078
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12304,297,12601
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,14314,1659,15973
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11842,195,12037
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7940,12532,20472
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11463,1832,13295
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8579,451,9030
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11464,1578,13042
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8339,93,8432
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11437,1839,13276
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8293,286,8579
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11417,7506,18923
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8910,394,9304
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11426,13596,25022
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8894,601,9495
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7940,16182,24122
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11652,1817,13469
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8712,478,9190
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11653,1473,13126
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8442,382,8824
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11626,1849,13475
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8560,125,8685
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11606,3681,15287
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8553,626,9179
