kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1562,10722,12284
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8972,17546,26518
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11305,18129,29434
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12470,9098,21568
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,12661,27512,40173
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10613,32000,42613
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1558,9836,11394
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9070,7960,17030
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9243,13674,22917
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10255,2543,12798
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6977,823,7800
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10217,1214,11431
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6494,186,6680
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9626,11653,21279
