kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1562,11639,13201
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9147,20018,29165
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11596,32000,43596
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1558,5279,6837
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9428,6865,16293
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9518,8433,17951
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9624,2268,11892
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,6328,172,6500
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9260,10196,19456
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9765,3943,13708
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9805,12050,21855
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10813,3112,13925
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,10991,8136,19127
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,11468,10390,21858
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,11503,9767,21270
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,11555,6569,18124
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1554,4947,6501
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8780,11304,20084
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9357,13597,22954
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10105,18497,28602
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,10791,23230,34021
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,11908,30653,42561
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,13524,26083,39607
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12664,8796,21460
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12374,15525,27899
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,12939,32000,44939
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1606,4768,6374
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8576,17505,26081
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10829,29384,40213
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11192,6318,17510
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11267,6413,17680
