kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1562,7925,9487
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8769,23293,32062
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11714,8430,20144
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11902,21533,33435
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10615,4081,14696
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7610,347,7957
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,10028,22050,32078
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,11012,32000,43012
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1558,8721,10279
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8232,11452,19684
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8734,9474,18208
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,9428,32000,41428
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1606,4809,6415
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7941,21831,29772
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,10045,26035,36080
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12739,15063,27802
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11249,14216,25465
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9932,4248,14180
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9894,8522,18416
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,9944,28680,38624
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12606,17217,29823
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,12860,3673,16533
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,11706,32000,43706
21_Sigmoid.py,anthropic,claude-sonnet-5,1531,2383,3914
