kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1554,5320,6874
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8036,9444,17480
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8336,8765,17101
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8950,18477,27427
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9056,25828,34884
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9947,32000,41947
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,1663,4673,6336
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8092,12728,20820
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8458,27335,35793
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9209,31915,41124
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11122,25919,37041
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11131,32000,43131
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,1461,12885,14346
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9425,1535,10960
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,5973,99,6072
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8752,21743,30495
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9697,15919,25616
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10026,15725,25751
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11398,7343,18741
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11397,8757,20154
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11353,14542,25895
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11990,10985,22975
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11801,18439,30240
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11811,22867,34678
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11004,19994,30998
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,2016,14446,16462
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9498,14884,24382
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9914,27114,37028
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11121,25975,37096
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11592,32000,43592
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,2105,22169,24274
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,10336,24682,35018
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,11188,32000,43188
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,anthropic,claude-sonnet-5,2077,14699,16776
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,anthropic,claude-sonnet-5,10007,19350,29357
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,anthropic,claude-sonnet-5,10377,22297,32674
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,anthropic,claude-sonnet-5,11947,32000,43947
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,1460,24141,25601
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,18663,18843,37506
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9604,23493,33097
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,10748,20202,30950
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,12200,9693,21893
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,12261,8170,20431
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,12263,9374,21637
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,12828,32000,44828
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,1671,26631,28302
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,10117,7324,17441
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,7113,229,7342
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,9573,18587,28160
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,9953,21897,31850
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,10257,3077,13334
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,10258,22952,33210
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,11475,17441,28916
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,12437,32000,44437
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11131,15297,26428
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11896,16447,28343
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10031,1108,11139
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11346,13769,25115
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,11966,13725,25691
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12328,37308,49636
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12192,15943,28135
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,12736,27723,40459
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11592,11127,22719
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12213,17112,29325
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,12018,23199,35217
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13475,14228,27703
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13119,19182,32301
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13145,13706,26851
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,13146,13152,26298
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,11188,34913,46101
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,12381,6489,18870
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,9501,319,9820
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,11857,58026,69883
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,40327,30456,70783
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,35726,24248,59974
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,35821,8955,44776
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,21374,15103,36477
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,19674,14692,34366
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,19817,39643,59460
70_conv_transposed_3D__asymmetric_input__square_kernel.py,anthropic,claude-sonnet-5,16932,20576,37508
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,anthropic,claude-sonnet-5,11947,21209,33156
