kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1940,1648,3588
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7558,730,8288
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7558,3207,10765
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7811,2280,10091
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7912,849,8761
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9111,3340,12451
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5232,293,5525
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7912,1400,9312
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9111,3804,12915
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5783,330,6113
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7912,1386,9298
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,9111,4851,13962
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5891,140,6031
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8577,992,9569
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8561,553,9114
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1936,3214,5150
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7325,12611,19936
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7463,5897,13360
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7462,2377,9839
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7463,3747,11210
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7463,6862,14325
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7462,2127,9589
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8818,11108,19926
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8548,5128,13676
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8536,2963,11499
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8718,5408,14126
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1984,4066,6050
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7685,2028,9713
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8916,1727,10643
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,5167,278,5445
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7680,4076,11756
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7536,3958,11494
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7536,5344,12880
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7536,4690,12226
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7536,2371,9907
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8186,2349,10535
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8175,1942,10117
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8213,2833,11046
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8255,2072,10327
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,8816,1517,10333
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,4886,187,5073
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,1973,11220,13193
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,9955,7436,17391
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7087,17342,24429
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10825,2001,12826
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7025,157,7182
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10809,6444,17253
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,6892,167,7059
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10831,4961,15792
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,6897,257,7154
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,10809,18080,28889
102_ScaledDotProductAttention.py,anthropic,claude-sonnet-5,7708,7244,14952
