kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1932,1933,3865
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7619,10230,17849
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7762,1146,8908
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7762,3333,11095
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9022,3019,12041
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5349,457,5806
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7762,1945,9707
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7762,1270,9032
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9022,3912,12934
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5860,649,6509
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7762,994,8756
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8899,925,9824
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8900,4459,13359
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8811,6191,15002
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8821,7244,16065
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,2041,4938,6979
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7578,5570,13148
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7840,16007,23847
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8143,8612,16755
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8213,3578,11791
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9459,3262,12721
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,5806,167,5973
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8213,4560,12773
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8213,1929,10142
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9127,1631,10758
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9228,1451,10679
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9096,1135,10231
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9138,1302,10440
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,1839,3921,5760
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8018,4457,12475
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8201,16951,25152
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9977,8709,18686
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,7080,99,7179
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9707,4719,14426
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6505,742,7247
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8508,1833,10341
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9707,3771,13478
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6611,549,7160
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8508,2456,10964
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8508,2040,10548
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9679,1453,11132
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,5708,114,5822
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9707,4743,14450
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6352,328,6680
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8508,1713,10221
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9885,3374,13259
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6586,355,6941
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9194,984,10178
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9182,1758,10940
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9192,1452,10644
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9140,1277,10417
