kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1940,1660,3600
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8224,687,8911
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8234,1001,9235
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8223,2503,10726
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8234,1048,9282
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8223,5572,13795
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8234,634,8868
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8223,3484,11707
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8156,949,9105
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8263,1163,9426
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8770,1380,10150
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,4511,80,4591
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8214,1331,9545
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1936,3439,5375
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8215,4657,12872
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8505,7163,15668
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8672,4833,13505
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8934,5311,14245
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8880,1782,10662
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,4928,376,5304
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8958,4661,13619
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8694,2075,10769
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8685,3777,12462
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8594,4182,12776
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8685,5945,14630
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8697,7531,16228
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1984,2171,4155
