kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1932,1799,3731
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8642,5185,13827
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8815,2479,11294
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8825,4360,13185
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8825,1772,10597
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8736,3892,12628
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8996,2856,11852
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5548,804,6352
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8816,1945,10761
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8825,6592,15417
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8816,3411,12227
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8737,4878,13615
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8853,12187,21040
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,9275,2225,11500
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5386,1285,6671
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,2041,10093,12134
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8642,805,9447
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8693,4726,13419
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8649,1293,9942
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8553,1246,9799
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8693,1104,9797
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8642,993,9635
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8693,1002,9695
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8642,787,9429
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8693,3456,12149
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8553,5978,14531
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,1839,5735,7574
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9635,10027,19662
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6070,492,6562
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9191,11851,21042
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9476,3688,13164
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9275,3177,12452
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9370,5022,14392
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8747,1483,10230
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8651,7320,15971
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8756,2775,11531
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8781,3932,12713
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8771,4033,12804
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8674,15714,24388
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,2394,21224,23618
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,10926,9004,19930
61_conv_transposed_3D__square_input__square_kernel.py,anthropic,claude-sonnet-5,11147,15666,26813
