kernel,server_type,model,input_tokens,output_tokens,total_tokens
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,1932,2447,4379
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7387,8729,16116
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,3017,10510
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,1280,8773
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,3444,10937
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8786,2464,11250
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5132,314,5446
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,299,7792
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,925,8418
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8786,3312,12098
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5314,336,5650
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,1052,8545
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,1406,8899
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,1346,8839
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8786,3099,11885
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5028,359,5387
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,7493,1895,9388
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,8786,3100,11886
6_Matmul_with_large_K_dimension_.py,anthropic,claude-sonnet-5,5527,396,5923
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,2041,3952,5993
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7699,6798,14497
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7923,1000,8923
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,7923,1655,9578
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8080,12526,20606
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8388,3337,11725
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8473,4066,12539
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8660,5726,14386
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9812,4781,14593
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,6469,317,6786
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8660,2205,10865
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,8660,16210,24870
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,9252,2628,11880
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,10364,2874,13238
14_Matmul_for_upper_triangular_matrices.py,anthropic,claude-sonnet-5,6762,104,6866
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,1839,6227,8066
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,7921,10021,17942
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9285,6225,15510
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,6686,2500,9186
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,8129,10170,18299
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,9838,5255,15093
50_conv_standard_2D__square_input__square_kernel.py,anthropic,claude-sonnet-5,5999,382,6381
