kernel,server_type,model,input_tokens,output_tokens,total_tokens
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,1940,1491,3431
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7355,668,8023
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7355,4488,11843
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,742,8344
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8841,3407,12248
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5355,260,5615
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,377,7979
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8841,2899,11740
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,4824,108,4932
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,569,8171
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8841,4118,12959
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,4963,289,5252
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,467,8069
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,1653,9255
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,332,7934
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8841,3612,12453
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5480,147,5627
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,309,7911
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,8841,4164,13005
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,5568,134,5702
1_Square_matrix_multiplication_.py,anthropic,claude-sonnet-5,7602,2743,10345
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,1936,3280,5216
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7519,3445,10964
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7541,9284,16825
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8874,1279,10153
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,4534,304,4838
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7599,4201,11800
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7921,7265,15186
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,7920,7344,15264
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8104,6794,14898
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8228,3346,11574
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8227,9385,17612
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8250,5634,13884
4_Matrix_vector_multiplication_.py,anthropic,claude-sonnet-5,8251,8919,17170
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,1984,4843,6827
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7925,2737,10662
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7925,3360,11285
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7925,3379,11304
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7925,4798,12723
9_Tall_skinny_matrix_multiplication_.py,anthropic,claude-sonnet-5,7872,984,8856
